direction,count,wins,losses,win_rate,avg_win,avg_loss,PF,expectancy,net_pnl,max_dd,median
LONG,25.0,11.0,14.0,44.0,2.811100251641096,-3.2482033565436645,0.6799825576929643,-0.58210976894237,-14.552744223559245,0.0,-3.199999999999999
SHORT,60.0,32.0,28.0,53.333333333333336,2.8000000000000034,-3.2136247755637632,0.995760309147676,-0.0063582285964209895,-0.3814937157852678,0.0,2.799999999999995
