symbol,index_membership,sector,industry,model_name,model_version,record_count,first_date,last_date,signal_count,champion_model_available,historical_data_available,eligibility,actually_scanned
CHAMBLFERT,NIFTY_200,,,CHAMBLFERT_rf_202609091048.joblib,202609091048,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
CHOLAFIN,NIFTY_200,,,CHOLAFIN_rf_202609091048.joblib,202609091048,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
CIPLA,NIFTY_200,,,CIPLA_rf_202609091046.joblib,202609091046,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
COALINDIA,NIFTY_200,,,COALINDIA_rf_202609091048.joblib,202609091048,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
COFORGE,NIFTY_200,,,COFORGE_rf_202609091048.joblib,202609091048,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
COLPAL,NIFTY_200,,,COLPAL_rf_202609090843.joblib,202609090843,252.0,2025-09-08,2026-09-08,0,True,True,ELIGIBLE,True
CONCOR,NIFTY_200,,,CONCOR_rf_202609091049.joblib,202609091049,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
CROMPTON,NIFTY_200,,,CROMPTON_rf_202609090843.joblib,202609090843,249.0,2024-09-09,2026-09-09,0,True,True,ELIGIBLE,True
CUMMINSIND,NIFTY_200,,,CUMMINSIND_rf_202609091048.joblib,202609091048,989.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
DABUR,NIFTY_200,,,DABUR_rf_202609091049.joblib,202609091049,990.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
DALBHARAT,NIFTY_200,,,DALBHARAT_rf_202609091049.joblib,202609091049,988.0,2021-09-09,2026-09-08,0,True,True,ELIGIBLE,True
DEEPAKNTR,NIFTY_200,,,DEEPAKNTR_rf_202609090843.joblib,202609090843,249.0,2024-09-09,2026-09-09,1,True,True,ELIGIBLE,True
DELHIVERY,NIFTY_200,,,DELHIVERY_rf_202609090843.joblib,202609090843,251.0,2025-09-08,2026-09-08,53,True,True,ELIGIBLE,True
DIVISLAB,NIFTY_200,,,DIVISLAB_rf_202609091047.joblib,202609091047,987.0,2021-09-09,2026-09-09,0,True,True,ELIGIBLE,True
