signal_id,symbol,direction,signal_timestamp,created_at,entry_price,target_price,stop_price,raw_probability,probability,expected_value,regime,strategy_version,model_version,prediction_id,provenance_id,outcome_timestamp,exit_price,terminal_state,net_pnl,realized_return,transaction_cost,slippage,mae,mfe,data_timestamp,market_timestamp,sector,industry,days_held
sig_RELIANCE_202605010000,RELIANCE,LONG,2026-05-01,2026-09-10 11:13:36.290494,1430.800048828125,1473.7240502929687,1387.8760473632813,0.5,0.6659693650141981,11.39,,v2.2,202609090641,d4f074fa-5d09-4b49-b0f4-f930f0eae2e8,f0d0cf69-7eeb-4d5d-b2da-ef2aec020b7a,2026-05-12,1387.8760473632813,STOP_LOSS,-3.1999999999999993,-2.999999999999999,,,-3.4106826364797747,2.977353517762902,2026-05-01,,,,11
sig_RELIANCE_202605040000,RELIANCE,LONG,2026-05-04,2026-09-10 11:13:44.173246,1430.800048828125,1473.7240502929687,1387.8760473632813,0.5,0.6735903560616641,12.04,,v2.2,202609090641,66c1bdd1-107a-459f-8021-5a80b6428c6d,b2375223-1371-47a8-a983-81a4b3fcf5fd,2026-05-12,1387.8760473632813,STOP_LOSS,-3.1999999999999993,-2.999999999999999,,,-3.4106826364797747,2.977353517762902,2026-05-04,,,,8
sig_RELIANCE_202605050000,RELIANCE,LONG,2026-05-05,2026-09-10 11:13:52.130651,1463.0999755859375,1506.9929748535158,1419.2069763183592,0.5,0.6600037789642023,11.12,,v2.2,202609090641,5b4a712d-a4e5-46a1-bf39-6a3612d43b5e,940c7f73-bde0-4b39-b2a8-56e105a4562f,2026-05-11,1419.2069763183592,STOP_LOSS,-3.2000000000000095,-3.0000000000000093,,,-3.1166684674214262,0.7039880390948725,2026-05-05,,,,6
sig_RELIANCE_202605060000,RELIANCE,LONG,2026-05-06,2026-09-10 11:13:59.991006,1463.5999755859375,1507.5079748535156,1419.6919763183594,0.5,0.6370376085582209,9.11,,v2.2,202609090641,b96eb098-544e-4191-aa68-defd8c0bcc3a,304e35ec-8bc3-46b1-b5a9-01ff9cd4df15,2026-05-11,1419.6919763183594,STOP_LOSS,-3.2000000000000006,-3.0000000000000004,,,-3.1497660805495595,0.6627544003821244,2026-05-06,,,,5
sig_RELIANCE_202605070000,RELIANCE,LONG,2026-05-07,2026-09-10 11:14:07.915738,1437.9000244140625,1481.0370251464844,1394.7630236816406,0.5,0.6449006316037696,9.63,,v2.2,202609090641,6ca0c19f-2185-4a1d-8505-dc265b87c159,2bb0702e-c534-4684-a709-3ce65dd187b0,2026-05-12,1394.7630236816406,STOP_LOSS,-3.2000000000000046,-3.0000000000000044,,,-3.8876155132441492,0.8067303281856772,2026-05-07,,,,5
sig_RELIANCE_202605080000,RELIANCE,LONG,2026-05-08,2026-09-10 11:14:15.614658,1436.199951171875,1479.2859497070312,1393.1139526367188,0.5,0.6721076413009778,11.96,,v2.2,202609090641,0763f21a-6e67-4840-8d6a-95fd5091422c,a00b2656-4045-42af-9a5a-3e181c4368ea,2026-05-12,1393.1139526367188,STOP_LOSS,-3.2,-3.0,,,-3.773844382020084,0.45955283948203834,2026-05-08,,,,4
sig_RELIANCE_202605110000,RELIANCE,LONG,2026-05-11,2026-09-10 11:14:23.614183,1435.199951171875,1478.2559497070313,1392.1439526367187,0.5,0.6716857680799515,11.91,,v2.2,202609090641,81232a01-f0db-4851-9499-f1926d0aa698,aae072ad-0495-4ea7-b15c-afdd697de3ca,2026-05-12,1392.1439526367187,STOP_LOSS,-3.200000000000002,-3.0000000000000018,,,-3.7067971698602675,0.0,2026-05-11,,,,1
sig_ZYDUSLIFE_202604210000,ZYDUSLIFE,LONG,2026-04-21,2026-09-10 11:24:12.793094,936.5,964.595,908.405,0.5,0.5544118589654194,1.18,,v2.2,202609090741,7db5a5d8-9800-4507-9097-18ad1e959de2,9c9c8081-223e-4274-8a52-20f822bc01f9,2026-04-29,908.405,STOP_LOSS,-3.2000000000000033,-3.000000000000003,,,-3.363587827015483,2.8190095476841965,2026-04-21,,,,8
sig_ZYDUSLIFE_202604240000,ZYDUSLIFE,LONG,2026-04-24,2026-09-10 11:24:31.672513,946.3499755859375,974.7404748535157,917.9594763183593,0.5,0.5529353414402824,1.11,,v2.2,202609090741,20f94817-9b72-4573-ae94-fef37a47bb8a,3ef11af7-c35a-4a2e-88d4-419e3563cafc,2026-04-29,917.9594763183593,STOP_LOSS,-3.2000000000000086,-3.0000000000000084,,,-4.369416880930911,0.7978072618906497,2026-04-24,,,,5
sig_ZYDUSLIFE_202604280000,ZYDUSLIFE,LONG,2026-04-28,2026-09-10 11:24:45.595224,939.6500244140625,967.8395251464844,911.4605236816406,0.5,0.5576459888499558,1.37,,v2.2,202609090741,81945f67-d7da-4a49-b00d-63919055431b,31a664f2-1d8f-495f-bcfd-142a2e26d28b,2026-04-29,911.4605236816406,STOP_LOSS,-3.200000000000008,-3.000000000000008,,,-3.6875457365809376,0.0,2026-04-28,,,,1
