prob_bucket,count,wins,losses,win_rate,avg_win,avg_loss,PF,expectancy,net_pnl,max_dd,median
<50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50-60%,32.0,15.0,17.0,46.875,2.812117848330986,-3.208833531041072,0.773265559090773,-0.38651257196041966,-12.368402302733429,0.0,-3.1999999999999966
60-70%,16.0,9.0,7.0,56.25,2.981928210901012,-3.2000000000000024,1.1980961561655843,0.2773346186318182,4.437353898109093,0.0,2.7999999999999954
70-80%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80-90%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
