symbol,equity_status,reason,price
MUTHOOTFIN,SUPPORTED,OK,3098.89990234375
NATIONALUM,SUPPORTED,OK,390.75
NAVINFLUOR,SUPPORTED,OK,8536.0
NESTLEIND,SUPPORTED,OK,1442.699951171875
NHPC,SUPPORTED,OK,74.93000030517578
NMDC,SUPPORTED,OK,86.44000244140625
NTPC,SUPPORTED,OK,330.5
NYKAA,SUPPORTED,OK,335.79998779296875
OBEROIRLTY,SUPPORTED,OK,1867.0
OIL,SUPPORTED,OK,480.6000061035156
ONGC,SUPPORTED,OK,231.66000366210938
PAGEIND,SUPPORTED,OK,35545.0
PATANJALI,SUPPORTED,OK,346.1000061035156
PAYTM,SUPPORTED,OK,1670.199951171875
PEL,SUPPORTED,OK,2278.5
PERSISTENT,SUPPORTED,OK,5824.0
PETRONET,SUPPORTED,OK,292.1499938964844
PFC,SUPPORTED,OK,350.8999938964844
PHOENIXLTD,SUPPORTED,OK,1906.5999755859375
PIDILITIND,SUPPORTED,OK,1627.199951171875
PIIND,SUPPORTED,OK,2457.199951171875
PNB,SUPPORTED,OK,114.7699966430664
POLYCAB,SUPPORTED,OK,9080.0
POONAWALLA,SUPPORTED,OK,478.3999938964844
POWERGRID,SUPPORTED,OK,265.95001220703125
PRESTIGE,SUPPORTED,OK,1588.300048828125
PVRINOX,SUPPORTED,OK,1219.800048828125
RADICO,SUPPORTED,OK,4597.2998046875
RECLTD,SUPPORTED,OK,318.29998779296875
RELIANCE,SUPPORTED,OK,1281.800048828125
RVNL,SUPPORTED,OK,215.19000244140625
SAIL,SUPPORTED,OK,196.10000610351562
SBICARD,SUPPORTED,OK,640.0
SBILIFE,SUPPORTED,OK,1756.699951171875
SBIN,SUPPORTED,OK,1045.800048828125
SHREECEM,SUPPORTED,OK,24050.0
SHRIRAMFIN,SUPPORTED,OK,1086.699951171875
SIEMENS,SUPPORTED,OK,4083.0
SJVN,SUPPORTED,OK,64.97000122070312
SKFINDIA,SUPPORTED,OK,1573.199951171875
SONACOMS,SUPPORTED,OK,805.9000244140625
SRF,SUPPORTED,OK,2583.60009765625
SUNPHARMA,SUPPORTED,OK,1914.0999755859375
SUNTV,SUPPORTED,OK,473.5
SUPREMEIND,SUPPORTED,OK,3635.199951171875
SUZLON,SUPPORTED,OK,46.849998474121094
SYNGENE,SUPPORTED,OK,407.29998779296875
TATACOMM,SUPPORTED,OK,1683.4000244140625
TATACONSUM,SUPPORTED,OK,1031.0999755859375
TATAELXSI,SUPPORTED,OK,3662.89990234375
TATAMOTORS,SUPPORTED,OK,464.54998779296875
TATAPOWER,SUPPORTED,OK,351.25
TATASTEEL,SUPPORTED,OK,184.6199951171875
TCS,SUPPORTED,OK,2334.5
TECHM,SUPPORTED,OK,1624.5
TIINDIA,SUPPORTED,OK,2838.60009765625
TITAN,SUPPORTED,OK,5148.2998046875
TORNTPHARM,SUPPORTED,OK,5011.0
TORNTPOWER,SUPPORTED,OK,1215.0
TRENT,SUPPORTED,OK,2902.800048828125
TRIDENT,SUPPORTED,OK,24.350000381469727
UBL,SUPPORTED,OK,1335.5
UCOBANK,SUPPORTED,OK,25.59000015258789
ULTRACEMCO,SUPPORTED,OK,11575.0
UNIONBANK,SUPPORTED,OK,184.72999572753906
UNITDSPR,SUPPORTED,OK,1512.199951171875
VBL,SUPPORTED,OK,416.70001220703125
VEDL,SUPPORTED,OK,285.29998779296875
VOLTAS,SUPPORTED,OK,1199.300048828125
WHIRLPOOL,SUPPORTED,OK,810.5499877929688
WIPRO,SUPPORTED,OK,180.14999389648438
YESBANK,SUPPORTED,OK,22.1299991607666
ZOMATO,SUPPORTED,OK,326.70001220703125
ZYDUSLIFE,SUPPORTED,OK,1179.0
