id,timestamp,symbol,direction,raw_probability,calibrated_probability,expected_value,data_quality_score,entry_price,target_price,stop_price,strategy_version,model_version,feature_version,regime,outcome,outcome_timestamp,realized_return,realized_mfe,realized_mae,transaction_cost,slippage,net_return,status,rejection_reason,provenance_json,created_at,updated_at,exit_price,universe_version,data_timestamp,market_timestamp,evaluation_mode,exit_reason,signal_eligibility,outcome_verified,quantity,capital_allocation,risk_amount,gross_pnl,pnl_percentage,fees,net_pnl,asset_class,instrument_id,instrument_type,prediction_id,provenance_id,asset_type,exchange,underlying_symbol,signal_type,signal_rating,conviction,entry_zone_low,entry_zone_high,current_price,price_timestamp,derivative_symbol,contract_multiplier,derivative_entry,derivative_current,derivative_target,derivative_stop,premium_timestamp,signal_timestamp,last_updated_at,entry_timestamp,exit_timestamp,lifecycle_state,outcome_status,verification_level,risk_amount_abs,reward_amount_abs,expected_return,feature_snapshot_id,market_snapshot_id,model_run_id,decision_id,created_by,calculation_version,pnl_engine_version,outcome_engine_version,reconstruction_version,last_reconciled_at,record_hash,audit_status
sig_CANFINHOME_202608240939,2026-08-24 09:39:45.062142,CANFINHOME,SHORT,0.5,0.5511042280098764,0.87,0.7181861350381944,811.4,787.058,835.742,v2.2,202608180605,v1.0.0,BULLISH,,2026-09-02 03:46:00,2.9999999999999982,2.8222824747350232,-0.9366526990387014,0.1,0.1,2.799999999999998,TARGET_HIT,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-24 09:39:45.062142,2026-09-02 04:17:36.600900,787.058,NIFTY_200_AUG2026,,,LIVE_SHADOW,TARGET_HIT,,True,,,,,2.9999999999999982,0.1,2.799999999999998,EQUITY,CANFINHOME.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_CUMMINSIND_202608241002,2026-08-24 10:02:26.103215,CUMMINSIND,SHORT,0.5,0.6333939063372855,31.01,0.707159389542824,5164.5,5009.565,5319.435,v2.2,202608180605,v1.0.0,BULLISH,,2026-09-02 07:24:00,3.000000000000008,2.991577112982864,-1.8201181140478264,0.1,0.1,2.800000000000008,TARGET_HIT,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-24 10:02:26.103215,2026-09-02 08:19:43.832832,5009.565,NIFTY_200_AUG2026,,,LIVE_SHADOW,TARGET_HIT,,True,,,,,3.000000000000008,0.1,2.800000000000008,EQUITY,CUMMINSIND.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_DIXON_202608241002,2026-08-24 10:02:36.618518,DIXON,SHORT,0.5,0.5534179153301777,17.51,0.707074194568287,14530.0,14094.1,14965.9,v2.2,202608180605,v1.0.0,BULLISH,,2026-08-25 09:44:00,-2.9999999999999973,0.8947006194081212,-2.821748107364074,0.1,0.1,-3.1999999999999975,STOP_LOSS,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-24 10:02:36.618518,2026-08-25 12:04:11.943910,14965.9,NIFTY_200_AUG2026,,,LIVE_SHADOW,,,True,,,,,,,-3.1999999999999975,EQUITY,DIXON.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_INFY_202608241003,2026-08-24 10:03:24.385049,INFY,LONG,0.5,0.7121226446895983,12.54,0.7066872443067129,1169.199951171875,1204.2759497070313,1134.1239526367187,v2.2,202608180606,v1.0.0,BULLISH,,2026-08-25 03:45:00,-3.2244229170629706,0.0,0.0,0.1,0.1,-3.4244229170629708,STOP_LOSS,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-24 10:03:24.385049,2026-08-25 12:04:11.943910,1131.5,NIFTY_200_AUG2026,,,LIVE_SHADOW,,,True,,,,,,,-3.4244229170629708,EQUITY,INFY.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_GLENMARK_202608241002,2026-08-24 10:02:53.747506,GLENMARK,LONG,0.5,0.610994783515157,11.14,0.7069354099675926,2391.0,2462.73,2319.27,v2.2,202608180606,v1.0.0,BULLISH,,2026-08-27 03:45:00,3.000000000000001,2.781263069845253,-0.6022543849330824,0.1,0.1,2.8000000000000007,TARGET_HIT,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-24 10:02:53.747506,2026-08-28 06:12:29.523155,2462.73,NIFTY_200_AUG2026,,,LIVE_SHADOW,TARGET_HIT,,True,,,,,3.000000000000001,0.1,2.8000000000000007,EQUITY,GLENMARK.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_SBIN_202608181011,2026-08-18 10:11:25.000000,SBIN,LONG,0.38280874778647034,0.6293,6.32,0.7027810693634259,1097.2,1130.116,1064.284,v2.2,v2.2,v1.0.0,SIDEWAYS,,2026-08-22 08:39:09,,,,,,-0.2,TIMEOUT,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-18 10:11:25.000000,2026-08-28 06:14:03.769637,1097.2,NIFTY_200_AUG2026,,,LIVE_SHADOW,,,True,,,,,,,-0.2,EQUITY,SBIN.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_AMBUJACEM_202608250435,2026-08-25 04:35:28.594109,AMBUJACEM,LONG,0.5,0.5751484474975843,1.02,0.866097062392361,407.9,420.137,395.66299999999995,v2.2,202608180605,v1.0.0,BULLISH,,2026-08-26 06:13:00,3.0000000000000058,2.9418960275764645,-0.6987036545798547,0.1,0.1,2.8000000000000056,TARGET_HIT,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-25 04:35:28.594109,2026-08-28 06:12:29.523155,420.137,NIFTY_200_AUG2026,,,LIVE_SHADOW,TARGET_HIT,,True,,,,,3.0000000000000058,0.1,2.8000000000000056,EQUITY,AMBUJACEM.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_BERGEPAINT_202608240939,2026-08-24 09:39:24.325891,BERGEPAINT,LONG,0.5,0.5888703578040408,1.72,0.718354145230324,516.35,531.8405,500.8595,v2.2,202608180605,v1.0.0,BULLISH,,2026-08-27 07:50:00,-3.0018386552695646,0.20335516879296547,-2.9727897743778486,0.1,0.1,-3.201838655269565,STOP_LOSS,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-24 09:39:24.325891,2026-08-28 06:12:29.523155,500.8500061035156,NIFTY_200_AUG2026,,,LIVE_SHADOW,STOP_LOSS,,True,,,,,-3.0018386552695646,0.1,-3.201838655269565,EQUITY,BERGEPAINT.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_BPCL_202608250436,2026-08-25 04:36:07.990840,BPCL,LONG,0.5,0.5695122620705576,0.68,0.8657777983877315,312.1,321.463,302.737,v2.2,202608180605,v1.0.0,BULLISH,,2026-08-26 03:45:00,2.9999999999999996,2.3870515196952025,-0.2563320112243745,0.1,0.1,2.7999999999999994,TARGET_HIT,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-25 04:36:07.990840,2026-08-28 06:12:29.523155,321.463,NIFTY_200_AUG2026,,,LIVE_SHADOW,TARGET_HIT,,True,,,,,2.9999999999999996,0.1,2.7999999999999994,EQUITY,BPCL.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig_CHOLAFIN_202608250436,2026-08-25 04:36:20.454963,CHOLAFIN,LONG,0.5,0.5698928329198657,4.03,0.8656767457881944,1837.0,1892.1100000000001,1781.8899999999999,v2.2,202608180605,v1.0.0,BULLISH,,2026-08-26 03:46:00,3.0000000000000067,2.8579205225911815,-0.22863098377109417,0.1,0.1,2.8000000000000065,TARGET_HIT,,"{'feature_version': 'v1.0.0', 'engine_version': 'P0.QUANT.1', 'calibration': 'Platt-Scaled'}",2026-08-25 04:36:20.454963,2026-08-28 06:12:29.523155,1892.1100000000001,NIFTY_200_AUG2026,,,LIVE_SHADOW,TARGET_HIT,,True,,,,,3.0000000000000067,0.1,2.8000000000000065,EQUITY,CHOLAFIN.NS,EQUITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
