underlying,instrument_type,instrument_id,price,price_status,eligibility
KEI,OPTION,KEI_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KPITTECH,FUTURE,KPITTECH_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
KPITTECH,OPTION,KPITTECH_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BALKRISIND,FUTURE,BALKRISIND_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BALKRISIND,OPTION,BALKRISIND_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKBARODA,FUTURE,BANKBARODA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKBARODA,OPTION,BANKBARODA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKINDIA,FUTURE,BANKINDIA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BANKINDIA,OPTION,BANKINDIA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BATAINDIA,FUTURE,BATAINDIA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BATAINDIA,OPTION,BATAINDIA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BEL,FUTURE,BEL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BEL,OPTION,BEL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BERGEPAINT,FUTURE,BERGEPAINT_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BERGEPAINT,OPTION,BERGEPAINT_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARATFORG,FUTURE,BHARATFORG_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARATFORG,OPTION,BHARATFORG_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARTIARTL,FUTURE,BHARTIARTL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHARTIARTL,OPTION,BHARTIARTL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BLUEDART,FUTURE,BLUEDART_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BLUEDART,OPTION,BLUEDART_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BOSCHLTD,FUTURE,BOSCHLTD_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BOSCHLTD,OPTION,BOSCHLTD_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PETRONET,FUTURE,PETRONET_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PETRONET,OPTION,PETRONET_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CANBK,FUTURE,CANBK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CANBK,OPTION,CANBK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CANFINHOME,FUTURE,CANFINHOME_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CANFINHOME,OPTION,CANFINHOME_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CHAMBLFERT,FUTURE,CHAMBLFERT_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CHAMBLFERT,OPTION,CHAMBLFERT_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COALINDIA,FUTURE,COALINDIA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COALINDIA,OPTION,COALINDIA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COFORGE,FUTURE,COFORGE_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COFORGE,OPTION,COFORGE_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COLPAL,FUTURE,COLPAL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COLPAL,OPTION,COLPAL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
LUPIN,FUTURE,LUPIN_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
LUPIN,OPTION,LUPIN_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
M&MFIN,FUTURE,M&MFIN_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
M&MFIN,OPTION,M&MFIN_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CONCOR,FUTURE,CONCOR_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CONCOR,OPTION,CONCOR_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COROMANDEL,FUTURE,COROMANDEL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
COROMANDEL,OPTION,COROMANDEL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CROMPTON,FUTURE,CROMPTON_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CROMPTON,OPTION,CROMPTON_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DALBHARAT,FUTURE,DALBHARAT_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DALBHARAT,OPTION,DALBHARAT_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DEEPAKNTR,FUTURE,DEEPAKNTR_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DEEPAKNTR,OPTION,DEEPAKNTR_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
MANAPPURAM,FUTURE,MANAPPURAM_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
MANAPPURAM,OPTION,MANAPPURAM_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
MAZDOCK,FUTURE,MAZDOCK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
MAZDOCK,OPTION,MAZDOCK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
APOLLOHOSP,FUTURE,APOLLOHOSP_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
APOLLOHOSP,OPTION,APOLLOHOSP_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DELHIVERY,FUTURE,DELHIVERY_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DELHIVERY,OPTION,DELHIVERY_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DIVISLAB,FUTURE,DIVISLAB_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DIVISLAB,OPTION,DIVISLAB_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DIXON,FUTURE,DIXON_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DIXON,OPTION,DIXON_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DLF,FUTURE,DLF_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DLF,OPTION,DLF_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DRREDDY,FUTURE,DRREDDY_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
DRREDDY,OPTION,DRREDDY_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BPCL,FUTURE,BPCL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BPCL,OPTION,BPCL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
EICHERMOT,FUTURE,EICHERMOT_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
EICHERMOT,OPTION,EICHERMOT_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ESCORTS,FUTURE,ESCORTS_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ESCORTS,OPTION,ESCORTS_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
EXIDEIND,FUTURE,EXIDEIND_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
EXIDEIND,OPTION,EXIDEIND_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
FEDERALBNK,FUTURE,FEDERALBNK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
FEDERALBNK,OPTION,FEDERALBNK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CHOLAFIN,FUTURE,CHOLAFIN_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
CHOLAFIN,OPTION,CHOLAFIN_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
FORTIS,FUTURE,FORTIS_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
FORTIS,OPTION,FORTIS_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GAIL,FUTURE,GAIL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GAIL,OPTION,GAIL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GLENMARK,FUTURE,GLENMARK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GLENMARK,OPTION,GLENMARK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GMRINFRA,FUTURE,GMRINFRA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GMRINFRA,OPTION,GMRINFRA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GODREJCP,FUTURE,GODREJCP_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GODREJCP,OPTION,GODREJCP_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GODREJPROP,FUTURE,GODREJPROP_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GODREJPROP,OPTION,GODREJPROP_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
POONAWALLA,FUTURE,POONAWALLA_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
POONAWALLA,OPTION,POONAWALLA_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GRASIM,FUTURE,GRASIM_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
GRASIM,OPTION,GRASIM_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HAL,FUTURE,HAL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HAL,OPTION,HAL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HAVELLS,FUTURE,HAVELLS_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HAVELLS,OPTION,HAVELLS_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PVRINOX,FUTURE,PVRINOX_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PVRINOX,OPTION,PVRINOX_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HDFCBANK,FUTURE,HDFCBANK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HDFCBANK,OPTION,HDFCBANK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HDFCLIFE,FUTURE,HDFCLIFE_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HDFCLIFE,OPTION,HDFCLIFE_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDALCO,FUTURE,HINDALCO_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDALCO,OPTION,HINDALCO_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDCOPPER,FUTURE,HINDCOPPER_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDCOPPER,OPTION,HINDCOPPER_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDPETRO,FUTURE,HINDPETRO_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDPETRO,OPTION,HINDPETRO_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
SAIL,FUTURE,SAIL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
SAIL,OPTION,SAIL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDUNILVR,FUTURE,HINDUNILVR_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDUNILVR,OPTION,HINDUNILVR_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDZINC,FUTURE,HINDZINC_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HINDZINC,OPTION,HINDZINC_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HUDCO,FUTURE,HUDCO_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HUDCO,OPTION,HUDCO_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
AMBUJACEM,FUTURE,AMBUJACEM_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
AMBUJACEM,OPTION,AMBUJACEM_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHEL,FUTURE,BHEL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BHEL,OPTION,BHEL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BIOCON,FUTURE,BIOCON_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BIOCON,OPTION,BIOCON_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ICICIBANK,FUTURE,ICICIBANK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ICICIBANK,OPTION,ICICIBANK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ICICIGI,FUTURE,ICICIGI_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ICICIGI,OPTION,ICICIGI_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ICICIPRULI,FUTURE,ICICIPRULI_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ICICIPRULI,OPTION,ICICIPRULI_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
IDBI,FUTURE,IDBI_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
IDBI,OPTION,IDBI_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
SUZLON,FUTURE,SUZLON_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
SUZLON,OPTION,SUZLON_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HCLTECH,FUTURE,HCLTECH_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
HCLTECH,OPTION,HCLTECH_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PERSISTENT,FUTURE,PERSISTENT_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
PERSISTENT,OPTION,PERSISTENT_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ACC,FUTURE,ACC_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ACC,OPTION,ACC_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIGREEN,FUTURE,ADANIGREEN_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ADANIGREEN,OPTION,ADANIGREEN_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ASHOKLEY,FUTURE,ASHOKLEY_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
ASHOKLEY,OPTION,ASHOKLEY_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
IDFCFIRSTB,FUTURE,IDFCFIRSTB_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
IDFCFIRSTB,OPTION,IDFCFIRSTB_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDHOTEL,FUTURE,INDHOTEL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDHOTEL,OPTION,INDHOTEL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDIGO,FUTURE,INDIGO_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDIGO,OPTION,INDIGO_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDUSINDBK,FUTURE,INDUSINDBK_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDUSINDBK,OPTION,INDUSINDBK_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
UBL,FUTURE,UBL_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
UBL,OPTION,UBL_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJAJHLDNG,FUTURE,BAJAJHLDNG_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
BAJAJHLDNG,OPTION,BAJAJHLDNG_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDIANB,FUTURE,INDIANB_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
INDIANB,OPTION,INDIANB_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
TATAELXSI,FUTURE,TATAELXSI_NEAR_FUT,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
TATAELXSI,OPTION,TATAELXSI_ATM_CE,,PROVIDER_UNSUPPORTED,F&O_ELIGIBLE
