symbol,universe_version,provider,equity_instrument_id,equity_data_status,signal_capable,futures_eligible,options_eligible
DIVISLAB,NIFTY_200_AUG2026,YFinanceProvider,DIVISLAB.NS,FRESH,True,True,True
DIXON,NIFTY_200_AUG2026,YFinanceProvider,DIXON.NS,FRESH,True,True,True
DLF,NIFTY_200_AUG2026,YFinanceProvider,DLF.NS,FRESH,True,True,True
DRREDDY,NIFTY_200_AUG2026,YFinanceProvider,DRREDDY.NS,FRESH,True,True,True
EICHERMOT,NIFTY_200_AUG2026,YFinanceProvider,EICHERMOT.NS,FRESH,True,True,True
ESCORTS,NIFTY_200_AUG2026,YFinanceProvider,ESCORTS.NS,FRESH,True,True,True
EXIDEIND,NIFTY_200_AUG2026,YFinanceProvider,EXIDEIND.NS,FRESH,True,True,True
FEDERALBNK,NIFTY_200_AUG2026,YFinanceProvider,FEDERALBNK.NS,FRESH,True,True,True
FORTIS,NIFTY_200_AUG2026,YFinanceProvider,FORTIS.NS,FRESH,True,True,True
GAIL,NIFTY_200_AUG2026,YFinanceProvider,GAIL.NS,FRESH,True,True,True
GLENMARK,NIFTY_200_AUG2026,YFinanceProvider,GLENMARK.NS,FRESH,True,True,True
GMRINFRA,NIFTY_200_AUG2026,YFinanceProvider,GMRINFRA.NS,FRESH,True,True,True
GODREJCP,NIFTY_200_AUG2026,YFinanceProvider,GODREJCP.NS,FRESH,True,True,True
GODREJPROP,NIFTY_200_AUG2026,YFinanceProvider,GODREJPROP.NS,FRESH,True,True,True
GRASIM,NIFTY_200_AUG2026,YFinanceProvider,GRASIM.NS,FRESH,True,True,True
GUJGASLTD,NIFTY_200_AUG2026,YFinanceProvider,GUJGASLTD.NS,DATA_UNAVAILABLE,False,False,False
HAL,NIFTY_200_AUG2026,YFinanceProvider,HAL.NS,FRESH,True,True,True
HAVELLS,NIFTY_200_AUG2026,YFinanceProvider,HAVELLS.NS,FRESH,True,True,True
HCLTECH,NIFTY_200_AUG2026,YFinanceProvider,HCLTECH.NS,FRESH,True,True,True
