date,equity,cash,pos_count
2016-08-08T00:00:00,1000000.0,1000000.0,0
2016-08-09T00:00:00,1000000.0,1000000.0,0
2016-08-10T00:00:00,1000000.0,1000000.0,0
2016-08-11T00:00:00,1000000.0,1000000.0,0
2016-08-12T00:00:00,1000000.0,1000000.0,0
2016-08-16T00:00:00,1000000.0,1000000.0,0
2016-08-17T00:00:00,1000000.0,1000000.0,0
2016-08-18T00:00:00,1000000.0,1000000.0,0
2016-08-19T00:00:00,1000000.0,1000000.0,0
2016-08-22T00:00:00,1000000.0,1000000.0,0
2016-08-23T00:00:00,1000000.0,1000000.0,0
2016-08-24T00:00:00,1000000.0,1000000.0,0
2016-08-25T00:00:00,1000000.0,1000000.0,0
2016-08-26T00:00:00,1000000.0,1000000.0,0
2016-08-29T00:00:00,1000000.0,1000000.0,0
2016-08-30T00:00:00,1000000.0,1000000.0,0
2016-08-31T00:00:00,1000000.0,1000000.0,0
2016-09-01T00:00:00,1000000.0,1000000.0,0
2016-09-02T00:00:00,1000000.0,1000000.0,0
2016-09-06T00:00:00,1000000.0,1000000.0,0
2016-09-07T00:00:00,1000000.0,1000000.0,0
2016-09-08T00:00:00,1000000.0,1000000.0,0
2016-09-09T00:00:00,1000000.0,1000000.0,0
2016-09-12T00:00:00,1000000.0,1000000.0,0
2016-09-14T00:00:00,1000000.0,1000000.0,0
2016-09-15T00:00:00,1000000.0,1000000.0,0
2016-09-16T00:00:00,1000000.0,1000000.0,0
2016-09-19T00:00:00,1000000.0,1000000.0,0
2016-09-20T00:00:00,1000000.0,1000000.0,0
2016-09-21T00:00:00,1000000.0,1000000.0,0
2016-09-22T00:00:00,1000000.0,1000000.0,0
2016-09-23T00:00:00,1000000.0,1000000.0,0
2016-09-26T00:00:00,1000000.0,1000000.0,0
2016-09-27T00:00:00,1000000.0,1000000.0,0
2016-09-28T00:00:00,1000000.0,1000000.0,0
2016-09-29T00:00:00,1000000.0,1000000.0,0
2016-09-30T00:00:00,1000000.0,1000000.0,0
2016-10-03T00:00:00,1000000.0,1000000.0,0
2016-10-04T00:00:00,1000000.0,1000000.0,0
2016-10-05T00:00:00,1000000.0,1000000.0,0
2016-10-06T00:00:00,1000000.0,1000000.0,0
2016-10-07T00:00:00,1000000.0,1000000.0,0
2016-10-10T00:00:00,1000000.0,1000000.0,0
