trade_id,symbol,signal_date,direction,probability,intended_entry,actual_entry,entry_execution_type,target,stop,entry_date,exit_date,exit_price,quantity,position_value,risk_amount,gross_pnl,slippage_cost,transaction_cost,net_pnl,pnl,costs,return_pct,bars_in_position,status,portfolio_equity_before
2260,ADANIENT,2021-06-01T00:00:00,LONG,0.75534826310272,1412.186767578125,1412.186767578125,NORMAL,1454.5523706054687,1369.8211645507813,2021-06-02T00:00:00,2021-06-03T00:00:00,1454.5523706054687,70,98853.07373046875,2965.5922119140587,2965.5922119140587,0.0,342.3844417275659,2623.207770186493,2623.207770186493,342.3844417275659,2.653643099999996,0,EXECUTED,1012724.650515908
5252,AMBUJACEM,2021-06-01T00:00:00,LONG,0.6617268786604434,324.20001220703125,324.20001220703125,NORMAL,333.9260125732422,314.4740118408203,2021-06-02T00:00:00,2021-06-04T00:00:00,333.9260125732422,311,100826.20379638672,3024.7861138916023,3024.7861138916023,0.0,349.2185138568474,2675.567600034755,2675.567600034755,349.2185138568474,2.6536431000000005,0,EXECUTED,1015610.9175687493
6138,APOLLOHOSP,2021-06-01T00:00:00,LONG,0.5966094099311645,3239.800048828125,3239.800048828125,NORMAL,3336.994050292969,3142.606047363281,2021-06-02T00:00:00,2021-06-04T00:00:00,3336.994050292969,31,100433.80151367188,3013.0140454101625,3013.0140454101625,0.0,347.85940147490703,2665.1546439352555,2665.1546439352555,347.85940147490703,2.6536431000000062,0,EXECUTED,1015610.9175687493
0,ABB,2021-06-01T00:00:00,LONG,0.5420003115886887,1693.25,1693.25,NORMAL,1744.0475000000001,1642.4524999999999,2021-06-02T00:00:00,2021-06-07T00:00:00,1642.4524999999999,59,99901.75,2997.0525000000075,-2997.0525000000075,0.0,336.23242675425,-3333.2849267542574,-3333.2849267542574,336.23242675425,-3.3365631000000078,0,EXECUTED,1011168.4130918339
946,ACC,2021-06-01T00:00:00,LONG,0.7130607956448539,1973.449951171875,1973.449951171875,NORMAL,2032.6534497070313,1914.2464526367187,2021-06-02T00:00:00,2021-06-07T00:00:00,2032.6534497070313,51,100645.94750976562,3019.3784252929718,3019.3784252929718,0.0,348.5941837704514,2670.7842415225205,2670.7842415225205,348.5941837704514,2.653643100000003,0,EXECUTED,1011168.4130918339
10069,ATGL,2021-06-03T00:00:00,LONG,0.83162668644846,1620.4000244140625,1620.4000244140625,NORMAL,1669.0120251464843,1571.7880236816407,2021-06-04T00:00:00,2021-06-07T00:00:00,1669.0120251464843,62,100464.80151367188,3013.9440454101546,3013.9440454101546,0.0,347.966772113907,2665.9772732962474,2665.9772732962474,347.966772113907,2.6536430999999983,0,EXECUTED,1011168.4130918339
12926,BAJAJFINSV,2021-06-01T00:00:00,LONG,0.581743237973325,1170.9000244140625,1170.9000244140625,NORMAL,1206.0270251464844,1147.5002905273436,2021-06-02T00:00:00,2021-06-07T00:00:00,1218.4796899414064,86,100697.40209960938,2012.3771142578235,4091.8512353515735,0.0,350.52047798079053,3741.330757370783,3741.330757370783,350.52047798079053,3.7154193448505026,0,EXECUTED,1011168.4130918339
1902,ADANIENSOL,2021-06-03T00:00:00,LONG,0.7353583568218941,1577.9000244140625,1577.9000244140625,NORMAL,1625.2370251464845,1530.5630236816405,2021-06-07T00:00:00,2021-06-08T00:00:00,1625.2370251464845,64,100985.6015625,3029.568046875007,3029.568046875007,0.0,349.77059901822656,2679.7974478567803,2679.7974478567803,349.77059901822656,2.6536431000000067,0,EXECUTED,1021393.8614428452
3605,ADANIPORTS,2021-06-03T00:00:00,LONG,0.7015429205396717,825.2999877929688,825.2999877929688,NORMAL,850.0589874267579,800.5409881591796,2021-06-04T00:00:00,2021-06-08T00:00:00,850.0589874267579,122,100686.59851074219,3020.597955322274,3020.597955322274,0.0,348.73498131725285,2671.8629740050214,2671.8629740050214,348.73498131725285,2.6536431000000085,0,EXECUTED,1021393.8614428452
10068,ATGL,2021-06-02T00:00:00,LONG,0.8307444419976986,1579.8499755859375,1579.8499755859375,NORMAL,1627.2454748535156,1532.4544763183594,2021-06-07T00:00:00,2021-06-08T00:00:00,1634.0,64,101110.3984375,3033.3119531249977,3465.6015625,0.0,350.90846793515624,3114.6930945648437,3114.6930945648437,350.90846793515624,3.0804874104913633,0,EXECUTED,1021393.8614428452
