symbol,first_date,last_date,candle_count,expected_start,eligible
GAIL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
GLENMARK,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
GMRINFRA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
GODREJCP,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
GODREJPROP,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
GRASIM,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
GUJGASLTD,2026-07-17 00:00:00.000000,2026-08-18 00:00:00.000000,23,2020-01-01,True
HAL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HAVELLS,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HCLTECH,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HDFCBANK,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
HDFCLIFE,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HEROMOTOCO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HINDALCO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HINDCOPPER,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HINDPETRO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HINDUNILVR,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HINDZINC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
HUDCO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
ICICIBANK,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
ICICIGI,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
ICICIPRULI,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
IDBI,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
IDFCFIRSTB,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
IGL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
INDHOTEL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
INDIAMART,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
INDIANB,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
INDIGO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
INDUSINDBK,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
INDUSTOWER,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
INFY,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
IOC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
IRB,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
IRCTC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
IRFC,2021-01-29 00:00:00.000000,2026-08-20 00:00:00.000000,1376,2020-01-01,True
ITC,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
JINDALSTEL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
JSWENERGY,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
JSWSTEEL,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
JUBLFOOD,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
KALYANKJIL,2021-03-26 00:00:00.000000,2026-08-20 00:00:00.000000,1337,2020-01-01,True
KANSAINER,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1643,2020-01-01,True
KARURVYSYA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
KEI,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
KOTAKBANK,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
KPITTECH,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
L&TFH,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
LICHSGFIN,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
LICI,2022-05-17 00:00:00.000000,2026-08-20 00:00:00.000000,1057,2020-01-01,True
LT,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
LUPIN,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
M&M,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
M&MFIN,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
MAHABANK,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
MANAPPURAM,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
MARICO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
MARUTI,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
MAXHEALTH,2020-08-21 00:00:00.000000,2026-08-20 00:00:00.000000,1487,2020-01-01,True
MAZDOCK,2020-10-12 00:00:00.000000,2026-08-20 00:00:00.000000,1452,2020-01-01,True
MFSL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
MGL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
MPHASIS,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
MRF,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
MUTHOOTFIN,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
NATIONALUM,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
NAVINFLUOR,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
NESTLEIND,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
NHPC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
NMDC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
NTPC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
NYKAA,2021-11-10 00:00:00.000000,2026-08-20 00:00:00.000000,1183,2020-01-01,True
OBEROIRLTY,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
OIL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
ONGC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
PAGEIND,2020-01-01 00:00:00.000000,2026-08-19 00:00:00.000000,1643,2020-01-01,True
PATANJALI,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
PAYTM,2021-11-18 00:00:00.000000,2026-08-20 00:00:00.000000,1178,2020-01-01,True
PEL,2025-11-07 00:00:00.000000,2026-08-20 00:00:00.000000,197,2020-01-01,True
PERSISTENT,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
PETRONET,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
PFC,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
PHOENIXLTD,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1643,2020-01-01,True
PIDILITIND,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
PIIND,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
PNB,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
POLYCAB,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
POONAWALLA,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
POWERGRID,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
PRESTIGE,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1645,2020-01-01,True
PVRINOX,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
RADICO,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1644,2020-01-01,True
RECLTD,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
RELIANCE,2016-08-08 00:00:00.000000,2026-08-20 00:00:00.000000,2484,2020-01-01,True
RVNL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
SAIL,2020-01-01 00:00:00.000000,2026-08-20 00:00:00.000000,1646,2020-01-01,True
SBICARD,2020-03-16 00:00:00.000000,2026-08-18 00:00:00.000000,1593,2020-01-01,True
SBILIFE,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SBIN,2016-08-08 00:00:00.000000,2026-08-18 00:00:00.000000,2482,2020-01-01,True
SHREECEM,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SHRIRAMFIN,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SIEMENS,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1643,2020-01-01,True
SJVN,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SKFINDIA,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SONACOMS,2021-06-24 00:00:00.000000,2026-08-18 00:00:00.000000,1276,2020-01-01,True
SRF,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SUNPHARMA,2016-08-08 00:00:00.000000,2026-08-18 00:00:00.000000,2482,2020-01-01,True
SUNTV,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SUPREMEIND,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SUZLON,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
SYNGENE,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TATACOMM,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TATACONSUM,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TATAELXSI,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TATAMOTORS,2025-11-12 00:00:00.000000,2026-08-18 00:00:00.000000,193,2020-01-01,True
TATAPOWER,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TATASTEEL,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TCS,2016-08-08 00:00:00.000000,2026-08-18 00:00:00.000000,2482,2020-01-01,True
TECHM,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TIINDIA,2020-01-01 00:00:00.000000,2026-08-18 00:00:00.000000,1644,2020-01-01,True
TITAN,2016-08-08 00:00:00.000000,2026-08-18 00:00:00.000000,2482,2020-01-01,True
