symbol,signal_date,direction,probability,entry,target,stop,exit,outcome,holding_period,exit_date,exit_reason,profit_pct
AXISBANK,2022-07-07T00:00:00,SHORT,0.58,655.9052124023438,636.2280560302734,675.5823687744141,867.6804809570312,EXPIRED,1,2023-05-02T00:00:00+00:00,EXPIRED,-32.287480652735056
AXISBANK,2022-07-19T00:00:00,SHORT,0.608,698.2103271484375,677.2640173339844,719.1566369628906,907.5440673828125,EXPIRED,1,2023-05-12T00:00:00+00:00,EXPIRED,-29.98147293084527
BAJFINANCE,2018-10-23T00:00:00,SHORT,0.7162499999999999,202.0112762451172,195.95093795776367,208.0716145324707,323.2687683105469,EXPIRED,1,2019-08-19T00:00:00+00:00,EXPIRED,-60.02511063704079
BAJFINANCE,2020-05-29T00:00:00,SHORT,0.67925,190.2031707763672,184.49707565307617,195.9092658996582,539.8541870117188,EXPIRED,1,2021-03-10T00:00:00+00:00,EXPIRED,-183.83027728094837
BAJFINANCE,2020-06-01T00:00:00,SHORT,0.68625,210.375732421875,204.06446044921876,216.68700439453124,541.100341796875,EXPIRED,1,2021-03-12T00:00:00+00:00,EXPIRED,-157.20663479939049
BAJFINANCE,2020-06-18T00:00:00,SHORT,0.61825,245.9210662841797,238.5434342956543,253.29869827270508,513.28515625,EXPIRED,1,2021-04-01T00:00:00+00:00,EXPIRED,-108.71947410022274
BAJFINANCE,2020-06-19T00:00:00,SHORT,0.6659999999999999,262.72991943359375,254.84802185058592,270.61181701660155,483.13836669921875,EXPIRED,1,2021-04-05T00:00:00+00:00,EXPIRED,-83.89164345682155
BAJFINANCE,2020-07-03T00:00:00,SHORT,0.63125,285.4045715332031,276.84243438720705,293.9667086791992,449.175048828125,EXPIRED,1,2021-04-20T00:00:00+00:00,EXPIRED,-57.38186897818114
BAJFINANCE,2021-04-19T00:00:00,SHORT,0.5559999999999999,436.1242370605469,423.04050994873046,449.2079641723633,693.3963012695312,EXPIRED,1,2022-02-03T00:00:00+00:00,EXPIRED,-58.99054497474935
BAJFINANCE,2023-03-31T00:00:00,SHORT,0.67075,549.712646484375,533.2212670898438,566.2040258789062,693.43798828125,EXPIRED,1,2024-01-24T00:00:00+00:00,EXPIRED,-26.14554035022737
BANDHANBNK,2022-09-15T00:00:00,LONG,0.7244999999999999,304.6000061035156,313.7380062866211,295.46200592041015,230.25,EXPIRED,1,2023-07-10T00:00:00+00:00,EXPIRED,-24.409062578366605
BANDHANBNK,2023-03-31T00:00:00,SHORT,0.69875,189.89999389648438,184.20299407958984,195.5969937133789,223.6999969482422,EXPIRED,1,2024-01-24T00:00:00+00:00,EXPIRED,-17.798843674625076
BANKBARODA,2020-12-02T00:00:00,SHORT,0.53625,54.099998474121094,52.47699851989746,55.72299842834473,79.6500015258789,EXPIRED,1,2021-09-23T00:00:00+00:00,EXPIRED,-47.22736371976006
BANKBARODA,2021-04-23T00:00:00,SHORT,0.53525,62.95000076293945,61.061500740051265,64.83850078582763,114.8499984741211,EXPIRED,1,2022-02-09T00:00:00+00:00,EXPIRED,-82.44638138548954
BANKBARODA,2022-06-20T00:00:00,SHORT,0.6,91.1500015258789,88.41550148010253,93.88450157165528,170.85000610351562,EXPIRED,1,2023-04-12T00:00:00+00:00,EXPIRED,-87.4382920937293
BANKBARODA,2024-07-08T00:00:00,LONG,0.5625,273.79998779296875,282.0139874267578,265.5859881591797,252.5500030517578,EXPIRED,1,2025-04-29T00:00:00+00:00,EXPIRED,-7.761134290947782
BANKBARODA,2025-05-12T00:00:00,SHORT,0.7255,220.08999633789062,213.4872964477539,226.69269622802736,313.1000061035156,EXPIRED,1,2026-02-25T00:00:00+00:00,EXPIRED,-42.259989692049636
BANKINDIA,2023-02-28T00:00:00,SHORT,0.54575,66.9000015258789,64.89300148010254,68.90700157165527,109.5,EXPIRED,1,2023-12-22T00:00:00+00:00,EXPIRED,-63.67712631163715
BANKINDIA,2023-03-28T00:00:00,SHORT,0.61975,69.05000305175781,66.97850296020508,71.12150314331055,134.35000610351562,EXPIRED,1,2024-01-19T00:00:00+00:00,EXPIRED,-94.5691530278585
BANKINDIA,2024-05-13T00:00:00,LONG,0.542,138.75,142.9125,134.5875,98.08000183105469,EXPIRED,1,2025-02-27T00:00:00+00:00,EXPIRED,-29.31171039203266
BEL,2020-11-04T00:00:00,SHORT,0.65625,29.633333206176758,28.744333209991453,30.522333202362063,60.43333435058594,EXPIRED,1,2021-08-26T00:00:00+00:00,EXPIRED,-103.93701218190752
BEL,2022-02-24T00:00:00,SHORT,0.71875,62.61666488647461,60.73816493988037,64.49516483306886,99.44999694824219,EXPIRED,1,2022-12-19T00:00:00+00:00,EXPIRED,-58.8235290534033
BEL,2023-03-31T00:00:00,SHORT,0.6305,91.55000305175781,88.80350296020508,94.29650314331055,187.10000610351562,EXPIRED,1,2024-01-24T00:00:00+00:00,EXPIRED,-104.36919701437759
BEL,2025-04-08T00:00:00,SHORT,0.60675,272.1000061035156,263.9370059204102,280.2630062866211,415.95001220703125,EXPIRED,1,2026-01-28T00:00:00+00:00,EXPIRED,-52.86659422153428
BHARTIARTL,2020-10-30T00:00:00,SHORT,0.679,410.94537353515625,398.61701232910156,423.27373474121094,581.4344482421875,EXPIRED,1,2021-08-20T00:00:00+00:00,EXPIRED,-41.48704078121126
BHARTIARTL,2020-11-06T00:00:00,SHORT,0.669,426.2463073730469,413.45891815185547,439.0336965942383,563.8597412109375,EXPIRED,1,2021-08-27T00:00:00+00:00,EXPIRED,-32.28495624654236
BHARTIARTL,2021-03-25T00:00:00,SHORT,0.6074999999999999,481.0548095703125,466.6231652832031,495.4864538574219,706.3424682617188,EXPIRED,1,2022-01-13T00:00:00+00:00,EXPIRED,-46.832014608197674
BHEL,2020-11-20T00:00:00,SHORT,0.7162499999999999,29.200000762939453,28.324000740051268,30.076000785827638,58.0,EXPIRED,1,2021-09-14T00:00:00+00:00,EXPIRED,-98.63013179648068
BHEL,2022-06-20T00:00:00,SHORT,0.59975,42.099998474121094,40.83699851989746,43.362998428344724,71.94999694824219,EXPIRED,1,2023-04-12T00:00:00+00:00,EXPIRED,-70.90261177199308
BHEL,2022-07-15T00:00:00,SHORT,0.52725,49.54999923706055,48.06349925994873,51.036499214172366,80.5999984741211,EXPIRED,1,2023-05-11T00:00:00+00:00,EXPIRED,-62.663975207161926
BHEL,2024-09-30T00:00:00,LONG,0.56975,287.54998779296875,296.17648742675783,278.92348815917967,250.5,EXPIRED,1,2025-07-21T00:00:00+00:00,EXPIRED,-12.88471200341143
BHEL,2024-10-03T00:00:00,LONG,0.6185,280.45001220703125,288.8635125732422,272.0365118408203,250.5,EXPIRED,1,2025-07-23T00:00:00+00:00,EXPIRED,-10.67926935404154
BIOCON,2023-03-31T00:00:00,SHORT,0.5297499999999999,201.60000610351562,195.55200592041015,207.6480062866211,262.5,EXPIRED,1,2024-01-24T00:00:00+00:00,EXPIRED,-30.208329391227316
BPCL,2020-12-23T00:00:00,SHORT,0.7204999999999999,187.1999969482422,181.58399703979492,192.81599685668945,229.64999389648438,EXPIRED,1,2021-10-14T00:00:00+00:00,EXPIRED,-22.67628079074111
BPCL,2021-09-15T00:00:00,LONG,0.5765,244.97500610351562,252.3242562866211,237.62575592041014,156.5500030517578,EXPIRED,1,2022-07-05T00:00:00+00:00,EXPIRED,-36.09552029744345
BPCL,2022-04-21T00:00:00,LONG,0.6905,198.85000610351562,204.8155062866211,192.88450592041016,166.0749969482422,EXPIRED,1,2023-02-08T00:00:00+00:00,EXPIRED,-16.482277168355584
BPCL,2022-10-20T00:00:00,SHORT,0.6487499999999999,148.5500030517578,144.0935029602051,153.00650314331054,181.3249969482422,EXPIRED,1,2023-08-11T00:00:00+00:00,EXPIRED,-22.063273795467314
BPCL,2023-11-01T00:00:00,SHORT,0.533,174.625,169.38625,179.86375,349.04998779296875,EXPIRED,1,2024-08-28T00:00:00+00:00,EXPIRED,-99.8854618714209
CANBK,2020-10-30T00:00:00,SHORT,0.55375,17.239999771118164,16.72279977798462,17.75719976425171,30.579999923706055,EXPIRED,1,2021-08-23T00:00:00+00:00,EXPIRED,-77.37819216759002
CANBK,2020-11-26T00:00:00,SHORT,0.532,20.0,19.4,20.6,30.989999771118164,EXPIRED,1,2021-09-20T00:00:00+00:00,EXPIRED,-54.94999885559082
CANBK,2020-11-27T00:00:00,SHORT,0.6445,20.760000228881836,20.13720022201538,21.38280023574829,30.989999771118164,EXPIRED,1,2021-09-21T00:00:00+00:00,EXPIRED,-49.27745389908086
CANBK,2021-04-23T00:00:00,SHORT,0.69625,26.100000381469727,25.317000370025635,26.883000392913818,52.04999923706055,EXPIRED,1,2022-02-09T00:00:00+00:00,EXPIRED,-99.42528151844242
CANBK,2022-06-20T00:00:00,SHORT,0.714,34.90999984741211,33.862699851989746,35.95729984283447,57.58000183105469,EXPIRED,1,2023-04-12T00:00:00+00:00,EXPIRED,-64.93841902816024
CANBK,2022-07-01T00:00:00,SHORT,0.6375,36.970001220703125,35.86090118408203,38.07910125732422,61.540000915527344,EXPIRED,1,2023-04-26T00:00:00+00:00,EXPIRED,-66.45928829741307
CANBK,2022-07-06T00:00:00,SHORT,0.65675,38.54999923706055,37.393499259948726,39.70649921417237,63.4900016784668,EXPIRED,1,2023-05-02T00:00:00+00:00,EXPIRED,-64.69520865108048
CANBK,2024-06-04T00:00:00,LONG,0.538,128.25,132.0975,124.4025,85.83999633789062,EXPIRED,1,2025-03-21T00:00:00+00:00,EXPIRED,-33.0682289763036
CANBK,2025-04-15T00:00:00,SHORT,0.5215,90.54000091552734,87.82380088806153,93.25620094299316,147.4199981689453,EXPIRED,1,2026-02-02T00:00:00+00:00,EXPIRED,-62.82305796140457
CANBK,2025-09-01T00:00:00,SHORT,0.61625,103.83000183105469,100.71510177612305,106.94490188598633,133.74000549316406,EXPIRED,1,2026-06-22T00:00:00+00:00,EXPIRED,-28.8067062839669
COALINDIA,2020-10-29T00:00:00,SHORT,0.55475,110.8499984741211,107.52449851989746,114.17549842834472,135.60000610351562,EXPIRED,1,2021-08-20T00:00:00+00:00,EXPIRED,-22.327476743423354
COALINDIA,2020-11-23T00:00:00,SHORT,0.5565,122.75,119.0675,126.4325,161.0500030517578,EXPIRED,1,2021-09-15T00:00:00+00:00,EXPIRED,-31.201631814059315
COALINDIA,2021-05-03T00:00:00,SHORT,0.7105,132.1999969482422,128.23399703979493,136.16599685668945,163.0500030517578,EXPIRED,1,2022-02-17T00:00:00+00:00,EXPIRED,-23.335859921081354
COALINDIA,2022-02-24T00:00:00,SHORT,0.64225,150.0,145.5,154.5,224.64999389648438,EXPIRED,1,2022-12-19T00:00:00+00:00,EXPIRED,-49.76666259765625
COALINDIA,2024-10-28T00:00:00,LONG,0.62575,461.1000061035156,474.9330062866211,447.26700592041016,384.45001220703125,EXPIRED,1,2025-08-18T00:00:00+00:00,EXPIRED,-16.623290583795107
DELHIVERY,2025-04-21T00:00:00,SHORT,0.6625,281.04998779296875,272.61848815917966,289.48148742675784,448.29998779296875,EXPIRED,1,2026-02-05T00:00:00+00:00,EXPIRED,-59.508986751211744
FEDERALBNK,2023-06-30T00:00:00,SHORT,0.67625,122.1500015258789,118.48550148010254,125.81450157165527,153.60000610351562,EXPIRED,1,2024-04-25T00:00:00+00:00,EXPIRED,-25.747035763215827
GAIL,2020-11-09T00:00:00,SHORT,0.67625,57.666664123535156,55.9366641998291,59.39666404724121,97.43333435058594,EXPIRED,1,2021-08-31T00:00:00+00:00,EXPIRED,-68.95954678748453
GAIL,2020-11-10T00:00:00,SHORT,0.53525,60.133331298828125,58.32933135986328,61.93733123779297,96.53333282470703,EXPIRED,1,2021-09-01T00:00:00+00:00,EXPIRED,-60.532155361544504
GAIL,2022-04-22T00:00:00,LONG,0.5559999999999999,109.46666717529297,112.75066719055177,106.18266716003417,95.80000305175781,EXPIRED,1,2023-02-09T00:00:00+00:00,EXPIRED,-12.484772283831596
GAIL,2024-10-17T00:00:00,LONG,0.5782499999999999,231.86000061035156,238.81580062866212,224.904200592041,171.33999633789062,EXPIRED,1,2025-08-06T00:00:00+00:00,EXPIRED,-26.101959852129397
GMRINFRA,2022-08-24T00:00:00,SHORT,0.5742499999999999,33.70000076293945,32.68900074005127,34.711000785827636,43.25,EXPIRED,1,2023-06-16T00:00:00+00:00,EXPIRED,-28.338276026280884
GMRINFRA,2024-08-02T00:00:00,LONG,0.57575,101.5199966430664,104.5655965423584,98.4743967437744,86.86000061035156,EXPIRED,1,2025-05-26T00:00:00+00:00,EXPIRED,-14.440500903736082
GMRINFRA,2025-04-01T00:00:00,SHORT,0.7255,75.7300033569336,73.45810325622558,78.0019034576416,100.2300033569336,EXPIRED,1,2026-01-20T00:00:00+00:00,EXPIRED,-32.351774612402494
HDFCBANK,2018-11-13T00:00:00,SHORT,0.6145,445.28759765625,431.9289697265625,458.6462255859375,524.0245361328125,EXPIRED,1,2019-09-09T00:00:00+00:00,EXPIRED,-17.682266223220815
HDFCBANK,2020-04-03T00:00:00,SHORT,0.5237499999999999,379.1583557128906,367.7836050415039,390.53310638427735,700.6171875,EXPIRED,1,2021-01-19T00:00:00+00:00,EXPIRED,-84.78220958172079
HDFCBANK,2020-05-19T00:00:00,SHORT,0.696,386.9852294921875,375.37567260742185,398.59478637695315,726.2640380859375,EXPIRED,1,2021-03-01T00:00:00+00:00,EXPIRED,-87.67228894988082
HDFCBANK,2020-05-26T00:00:00,SHORT,0.56725,397.1181640625,385.20461914062497,409.03170898437503,712.8001098632812,EXPIRED,1,2021-03-05T00:00:00+00:00,EXPIRED,-79.4932023686275
HDFCBANK,2020-08-03T00:00:00,SHORT,0.647,466.8141174316406,452.8096939086914,480.8185409545899,697.5657348632812,EXPIRED,1,2021-05-21T00:00:00+00:00,EXPIRED,-49.43115660280593
HDFCBANK,2022-06-17T00:00:00,SHORT,0.6065,610.4888916015625,592.1742248535156,628.8035583496094,785.009033203125,EXPIRED,1,2023-04-10T00:00:00+00:00,EXPIRED,-28.586947936714243
HDFCBANK,2022-07-19T00:00:00,SHORT,0.52925,638.0846557617188,618.9421160888671,657.2271954345704,789.434814453125,EXPIRED,1,2023-05-12T00:00:00+00:00,EXPIRED,-23.71944808964741
HDFCBANK,2022-10-13T00:00:00,SHORT,0.6892499999999999,659.645263671875,639.8559057617188,679.4346215820312,779.7442016601562,EXPIRED,1,2023-08-03T00:00:00+00:00,EXPIRED,-18.206594453473045
HDFCBANK,2023-07-04T00:00:00,LONG,0.59525,827.4054565429688,852.2276202392578,802.5832928466797,732.2744750976562,EXPIRED,1,2024-04-29T00:00:00+00:00,EXPIRED,-11.49750472311179
HDFCBANK,2024-02-14T00:00:00,SHORT,0.6365,662.6377563476562,642.7586236572265,682.516889038086,907.520263671875,EXPIRED,1,2024-12-09T00:00:00+00:00,EXPIRED,-36.95571297868211
HDFCBANK,2025-01-27T00:00:00,SHORT,0.5529999999999999,790.9500732421875,767.2215710449218,814.6785754394532,976.302490234375,EXPIRED,1,2025-11-18T00:00:00+00:00,EXPIRED,-23.434148786712726
HDFCLIFE,2021-09-17T00:00:00,LONG,0.589,747.75,770.1825,725.3175,554.5999755859375,EXPIRED,1,2022-07-07T00:00:00+00:00,EXPIRED,-25.830829075768975
HINDALCO,2022-04-22T00:00:00,LONG,0.55175,514.1500244140625,529.5745251464843,498.7255236816406,436.5,EXPIRED,1,2023-02-09T00:00:00+00:00,EXPIRED,-15.102600549820902
HINDALCO,2022-09-29T00:00:00,SHORT,0.59925,371.20001220703125,360.0640118408203,382.3360125732422,434.5,EXPIRED,1,2023-07-24T00:00:00+00:00,EXPIRED,-17.05279787481907
HINDPETRO,2020-10-29T00:00:00,SHORT,0.64375,119.73332977294922,116.14132987976073,123.3253296661377,164.8000030517578,EXPIRED,1,2021-08-20T00:00:00+00:00,EXPIRED,-37.63920485989048
HINDPETRO,2022-11-07T00:00:00,SHORT,0.64725,135.73333740234375,131.66133728027344,139.80533752441406,174.3333282470703,EXPIRED,1,2023-08-28T00:00:00+00:00,EXPIRED,-28.43810635135834
HINDZINC,2024-05-23T00:00:00,LONG,0.6487499999999999,772.2999877929688,795.4689874267578,749.1309881591797,429.3500061035156,EXPIRED,1,2025-03-10T00:00:00+00:00,EXPIRED,-44.40631711901413
HUDCO,2024-12-18T00:00:00,LONG,0.7295,256.7099914550781,264.41129119873045,249.00869171142577,231.42999267578125,EXPIRED,1,2025-10-08T00:00:00+00:00,EXPIRED,-9.84768790494103
ICICIBANK,2018-07-19T00:00:00,SHORT,0.527,248.795166015625,241.33131103515623,256.25902099609374,390.07281494140625,EXPIRED,1,2019-05-20T00:00:00+00:00,EXPIRED,-56.784724232507244
ICICIBANK,2020-02-20T00:00:00,LONG,0.61875,524.628662109375,540.3675219726563,508.8898022460937,490.58062744140625,EXPIRED,1,2020-12-09T00:00:00+00:00,EXPIRED,-6.489930331116829
ICICIBANK,2020-02-26T00:00:00,LONG,0.5662499999999999,502.2816467285156,517.3500961303711,487.2131973266601,504.29571533203125,EXPIRED,2,2020-12-14T00:00:00+00:00,EXPIRED,0.40098391343457424
