date,equity,cash,pos_count,equity_delta,exit_date,pnl,cum_realized,expected_equity,diff
2016-08-08,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-09,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-10,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-11,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-12,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-16,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-17,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-18,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-19,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-22,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-23,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-24,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-25,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-26,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-29,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-30,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-08-31,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-01,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-02,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-06,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-07,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-08,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-09,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-12,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-14,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-15,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-16,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-19,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-20,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-21,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-22,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-23,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-26,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-27,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-28,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-29,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-09-30,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-03,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-04,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-05,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-06,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-07,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-10,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-13,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-14,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-17,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-18,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-19,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-20,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-21,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-24,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-25,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-26,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-27,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-10-28,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-01,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-02,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-03,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-04,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-07,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-08,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-09,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-10,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-11,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-15,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-16,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-17,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-18,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-21,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-22,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-23,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-24,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-25,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-28,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-29,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-11-30,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-01,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-02,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-05,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-06,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-07,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-08,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-09,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-12,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
2016-12-13,1000000.0,1000000.0,0,0.0,0,0.0,0.0,1000000.0,0.0
