symbol,signal_date,direction,entry,stop,exit,raw_profit,stop_breached,triggered_at,bars_available,extreme_gap_count,first_gap_pct
ADANIENT,2023-02-28T00:00:00,SHORT,1361.373046875,1402.2142382812501,2804.607666015625,-106.01316240640553,2023-03-01T00:00:00,NO,200,0,0.0
ADANIPORTS,2021-06-11T00:00:00,LONG,839.75,814.5575,774.2000122070312,-7.805893157840875,2021-06-14T00:00:00,NO,200,0,0.0
ADANIPOWER,2020-11-20T00:00:00,SHORT,7.599999904632568,7.827999901771546,19.84000015258789,-161.05263686246164,2020-11-24T00:00:00,NO,200,0,0.0
ADANIPOWER,2020-11-27T00:00:00,SHORT,7.699999809265137,7.930999803543091,18.90999984741211,-145.58441968606775,2020-12-01T00:00:00,NO,200,0,0.0
ADANIPOWER,2021-08-24T00:00:00,SHORT,15.449999809265137,15.913499803543091,53.33000183105469,-245.17800964032034,2021-08-25T00:00:00,NO,200,0,0.0
ADANIPOWER,2022-08-22T00:00:00,LONG,86.5,83.905,53.560001373291016,-38.08092326787166,2022-08-23T00:00:00,NO,200,0,0.0
ADANIPOWER,2022-09-23T00:00:00,LONG,77.12000274658203,74.80640266418457,49.13999938964844,-36.281123392690326,2022-09-26T00:00:00,NO,200,0,0.0
ADANIPOWER,2022-11-15T00:00:00,LONG,71.95999908447266,69.80119911193847,66.05000305175781,-8.212890644672184,2022-11-17T00:00:00,NO,200,0,0.0
ADANIPOWER,2023-03-01T00:00:00,SHORT,29.260000228881836,30.13780023574829,102.51000213623047,-250.34176806001983,2023-03-02T00:00:00,NO,200,0,0.0
ADANIPOWER,2023-03-31T00:00:00,SHORT,36.5,37.595,103.51000213623047,-183.58904694857662,2023-04-03T00:00:00,NO,200,0,0.0
ADANIPOWER,2024-06-04T00:00:00,LONG,174.89999389648438,169.65299407958983,103.93000030517578,-40.57747059345961,2024-06-05T00:00:00,NO,200,0,0.0
ADANIPOWER,2024-08-05T00:00:00,LONG,145.27000427246094,140.9119041442871,111.72000122070312,-23.094928109751518,2024-08-06T00:00:00,NO,200,0,0.0
ADANIPOWER,2025-01-14T00:00:00,SHORT,89.9800033569336,92.6794034576416,156.72999572753906,-74.183140564933,2025-01-15T00:00:00,NO,200,0,0.0
ADANIPOWER,2025-05-12T00:00:00,SHORT,102.4000015258789,105.47200157165527,144.30999755859375,-40.92772989082739,2025-05-13T00:00:00,NO,200,0,0.0
