symbol,signal_date,direction,intended_entry,actual_entry,entry_execution_type,target,stop,entry_date,exit_date,outcome,bars_to_entry,bars_in_position,bars_to_expiry,profit_pct
ADANIENT,2023-02-28T00:00:00,SHORT,1361.373046875,1421.4137469443406,FAVORABLE_GAP,1320.53185546875,1402.21423828125,2023-03-01T00:00:00+00:00,2023-03-01T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
ADANIPORTS,2021-06-11T00:00:00,LONG,839.75,755.7999877929688,FAVORABLE_GAP,864.9425,814.5575,2021-06-14T00:00:00+00:00,2021-06-14T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
ADANIPOWER,2020-11-20T00:00:00,SHORT,7.599999904632568,7.690000057220459,FAVORABLE_GAP,7.371999907493591,7.827999901771546,2020-11-23T00:00:00+00:00,2020-11-24T00:00:00+00:00,STOP_LOSS,1,2,200,-1.7945363267131946
ADANIPOWER,2020-11-27T00:00:00,SHORT,7.699999809265137,7.75,FAVORABLE_GAP,7.468999814987183,7.930999803543091,2020-12-01T00:00:00+00:00,2020-12-01T00:00:00+00:00,STOP_LOSS,1,1,200,-2.335481336039879
ADANIPOWER,2021-08-24T00:00:00,SHORT,15.449999809265137,16.219999313354492,FAVORABLE_GAP,14.986499814987182,15.913499803543091,2021-08-25T00:00:00+00:00,2021-08-25T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
ADANIPOWER,2022-08-22T00:00:00,LONG,86.5,84.19999694824219,FAVORABLE_GAP,89.095,83.905,2022-08-23T00:00:00+00:00,2022-08-23T00:00:00+00:00,STOP_LOSS,1,1,200,-0.35035268281959825
ADANIPOWER,2022-09-23T00:00:00,LONG,77.12000274658203,76.0,FAVORABLE_GAP,79.43360282897949,74.80640266418457,2022-09-26T00:00:00+00:00,2022-09-26T00:00:00+00:00,STOP_LOSS,1,1,200,-1.5705228102834548
ADANIPOWER,2022-11-15T00:00:00,LONG,71.95999908447266,71.18000030517578,FAVORABLE_GAP,74.11879905700684,69.80119911193847,2022-11-16T00:00:00+00:00,2022-11-17T00:00:00+00:00,STOP_LOSS,1,2,200,-1.9370626402442568
ADANIPOWER,2023-03-01T00:00:00,SHORT,29.26000022888184,30.600000381469727,FAVORABLE_GAP,28.38220022201538,30.13780023574829,2023-03-02T00:00:00+00:00,2023-03-02T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
ADANIPOWER,2023-03-31T00:00:00,SHORT,36.5,38.09000015258789,FAVORABLE_GAP,35.405,37.595,2023-04-03T00:00:00+00:00,2023-04-03T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
ADANIPOWER,2024-06-04T00:00:00,LONG,174.89999389648438,174.60000610351562,FAVORABLE_GAP,180.1469937133789,169.65299407958983,2024-06-05T00:00:00+00:00,2024-06-05T00:00:00+00:00,STOP_LOSS,1,1,200,-2.83334012084332
ADANIPOWER,2024-08-05T00:00:00,LONG,145.27000427246094,140.0,FAVORABLE_GAP,149.62810440063478,140.9119041442871,2024-08-06T00:00:00+00:00,2024-08-06T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
ADANIPOWER,2025-01-14T00:00:00,SHORT,89.9800033569336,92.0,FAVORABLE_GAP,87.28060325622559,92.6794034576416,2025-01-15T00:00:00+00:00,2025-01-15T00:00:00+00:00,STOP_LOSS,1,1,200,-0.7384820191756502
ADANIPOWER,2025-05-12T00:00:00,SHORT,102.4000015258789,108.98999786376953,FAVORABLE_GAP,99.32800148010254,105.47200157165528,2025-05-13T00:00:00+00:00,2025-05-13T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
APOLLOTYRE,2021-03-04T00:00:00,LONG,259.04998779296875,257.0,FAVORABLE_GAP,266.8214874267578,251.2784881591797,2021-03-05T00:00:00+00:00,2021-03-05T00:00:00+00:00,STOP_LOSS,1,1,200,-2.2262691987627674
ASHOKLEY,2022-03-08T00:00:00,SHORT,49.650001525878906,50.5,FAVORABLE_GAP,48.16050148010254,51.13950157165527,2022-03-09T00:00:00+00:00,2022-03-09T00:00:00+00:00,STOP_LOSS,1,1,200,-1.2663397458520267
ASHOKLEY,2022-03-14T00:00:00,SHORT,53.650001525878906,53.95000076293945,FAVORABLE_GAP,52.040501480102535,55.25950157165528,2022-03-15T00:00:00+00:00,2022-03-15T00:00:00+00:00,STOP_LOSS,1,1,200,-2.4272489160285176
ASHOKLEY,2022-05-12T00:00:00,SHORT,58.72499847412109,59.349998474121094,FAVORABLE_GAP,56.96324851989746,60.486748428344725,2022-05-13T00:00:00+00:00,2022-05-13T00:00:00+00:00,STOP_LOSS,1,1,200,-1.915332743806723
ASHOKLEY,2023-04-06T00:00:00,SHORT,67.375,68.1500015258789,FAVORABLE_GAP,65.35375,69.39625,2023-04-10T00:00:00+00:00,2023-04-11T00:00:00+00:00,STOP_LOSS,1,2,200,-1.8286844405246934
ASHOKLEY,2023-04-28T00:00:00,SHORT,71.0999984741211,71.4749984741211,FAVORABLE_GAP,68.96699851989746,73.23299842834473,2023-05-02T00:00:00+00:00,2023-05-09T00:00:00+00:00,STOP_LOSS,1,6,200,-2.459601247644871
ASHOKLEY,2024-03-21T00:00:00,SHORT,80.7750015258789,81.69999694824219,FAVORABLE_GAP,78.35175148010254,83.19825157165528,2024-03-22T00:00:00+00:00,2024-03-22T00:00:00+00:00,STOP_LOSS,1,1,200,-1.8338490567658767
ASHOKLEY,2024-04-22T00:00:00,SHORT,84.67500305175781,85.5,FAVORABLE_GAP,82.13475296020508,87.21525314331055,2024-04-23T00:00:00+00:00,2024-04-24T00:00:00+00:00,STOP_LOSS,1,2,200,-2.0061440272637987
ATGL,2024-06-04T00:00:00,LONG,1119.4000244140625,1115.0,FAVORABLE_GAP,1152.9820251464844,1085.8180236816406,2024-06-05T00:00:00+00:00,2024-06-05T00:00:00+00:00,STOP_LOSS,1,1,200,-2.6172176070277464
AXISBANK,2017-10-23T00:00:00,SHORT,447.178466796875,448.86796740623976,FAVORABLE_GAP,433.7631127929688,460.59382080078126,2017-10-24T00:00:00+00:00,2017-10-25T00:00:00+00:00,STOP_LOSS,1,2,200,-3.653276425252236
AXISBANK,2017-10-24T00:00:00,SHORT,449.1661376953125,465.2663550400008,FAVORABLE_GAP,435.6911535644531,462.6411218261719,2017-10-25T00:00:00+00:00,2017-10-25T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
AXISBANK,2020-04-03T00:00:00,SHORT,323.8470458984375,345.68890025928357,FAVORABLE_GAP,314.1316345214844,333.5624572753906,2020-04-07T00:00:00+00:00,2020-04-07T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
AXISBANK,2020-09-30T00:00:00,SHORT,422.5584106445313,428.0811402339323,FAVORABLE_GAP,409.8816583251953,435.2351629638672,2020-10-01T00:00:00+00:00,2020-10-01T00:00:00+00:00,STOP_LOSS,1,1,200,-1.671183814831339
AXISBANK,2020-10-15T00:00:00,SHORT,460.3214721679688,462.858921177459,FAVORABLE_GAP,446.5118280029297,474.1311163330078,2020-10-16T00:00:00+00:00,2020-10-19T00:00:00+00:00,STOP_LOSS,1,2,200,-2.5583050370928095
AXISBANK,2020-10-30T00:00:00,SHORT,490.0742492675781,494.4028026839789,FAVORABLE_GAP,475.3720217895508,504.7764767456055,2020-11-02T00:00:00+00:00,2020-11-02T00:00:00+00:00,STOP_LOSS,1,1,200,-2.0982231502958215
AXISBANK,2021-10-26T00:00:00,LONG,837.7532958984375,835.8626302083333,FAVORABLE_GAP,862.8858947753906,812.6206970214844,2021-10-27T00:00:00+00:00,2021-10-27T00:00:00+00:00,STOP_LOSS,1,1,200,-2.780592449868944
AXISBANK,2022-07-07T00:00:00,SHORT,655.9052124023438,664.725045547193,FAVORABLE_GAP,636.2280560302734,675.5823687744141,2022-07-08T00:00:00+00:00,2022-07-11T00:00:00+00:00,STOP_LOSS,1,2,200,-1.6333555204443313
AXISBANK,2022-07-19T00:00:00,SHORT,698.2103271484375,703.8909589906716,FAVORABLE_GAP,677.2640173339844,719.1566369628906,2022-07-20T00:00:00+00:00,2022-07-22T00:00:00+00:00,STOP_LOSS,1,3,200,-2.16875608036064
BAJFINANCE,2018-10-23T00:00:00,SHORT,202.0112762451172,210.8980864931397,FAVORABLE_GAP,195.95093795776367,208.0716145324707,2018-10-24T00:00:00+00:00,2018-10-24T00:00:00+00:00,STOP_LOSS,1,1,200,0.0
