id,symbol,timestamp,rating,direction,conviction,entry_price,target_price,stop_price,timeframe,status,outcome_date,profit_pct,mfe,mae,model_version,validated_at,triggered_at,trigger_price,events,trigger_condition,asset_class,underlying_symbol,strike,option_type,expiry,lot_size,outcome_price,raw_probability,calibrated_probability,expected_value,regime,regime_probability,risk_reward,risk_per_unit,reward_per_unit,data_quality_score,feature_snapshot_id,provenance,instrument_id,instrument_type,current_price,underlying_price,current_price_timestamp,price_source,price_adjustment_factor,normalized_current_price,price_status,universe_version,data_timestamp,market_timestamp,evaluation_mode,exit_reason,fees,slippage,net_pnl,signal_eligibility,outcome_verified,quantity,capital_allocation,risk_amount,gross_pnl,pnl_percentage,strategy_version,prediction_id,provenance_id,company_name,exchange,isin,asset_type,signal_version,signal_timestamp,decision_timestamp,feature_timestamp,prediction_timestamp,price_timestamp,timezone,entry_zone_low,entry_zone_high,risk_reward_ratio,opportunity_score,signal_score,model_id,model_hash,model_run_id,feature_version,feature_hash,data_source,data_source_timestamp,dataset_id,dataset_hash,lifecycle_state,activated_at,exit_at,outcome_timestamp,exit_price,realized_return,transaction_cost,realized_mae,realized_mfe,holding_period_days,current_price_status,current_price_source,data_quality_status,validation_status,audit_status,last_reconciled_at,record_hash,created_at,confidence,risk_amount_abs,reward_amount_abs,updated_at,outcome
sig_COALINDIA_202609110913,COALINDIA,2026-09-11 09:13:30.393705,BUY,LONG,55.02860821790141,426.20001220703125,438.9860125732422,413.4140118408203,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609091048,,,,"[{""id"": ""2db2ad1f-b1a5-46d0-b36e-dfa5234d28ed"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:13:42.885145"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.5447595885909208,0.5502860821790141,0.43,SIDEWAYS,0.5,,,,,feat_snap_COALINDIA_202609110913,"{""provenance_id"": ""44df165d-b004-41e5-86ae-69c71a79cb66"", ""signal_id"": ""sig_COALINDIA_202609110913"", ""prediction_id"": ""7feef3fe-90f0-4532-b14f-35e53c0a1143"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609091048"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""5f1ea9421a41f03a588767bfbcb005c17aed57a6e1b58393f6e5837e62ff56a1"", ""output_hash"": ""37dc8949d60daf680a3f201f83342e67eb5708d4f4a1231b3120ae66c0839769"", ""decision_hash"": ""86e69b6380b5e808d9af5ffd5669da7e5ef756b1ad497c6a07d1ff631a1592e3""}",NSE_COALINDIA,EQUITY,426.20001220703125,,2026-09-11 09:13:30.393705,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,7feef3fe-90f0-4532-b14f-35e53c0a1143,44df165d-b004-41e5-86ae-69c71a79cb66,COALINDIA Limited,NSE,,EQUITY,1.0,,2026-09-11 09:13:30.393705,2026-09-11,2026-09-11 09:13:30.393705,,UTC,424.0690121459961,428.3310122680664,1.0,55.02860821790141,0.43,mod_COALINDIA_v2.2,,run_202609091048,v1.0.0,5f1ea9421a41f03a588767bfbcb005c17aed57a6e1b58393f6e5837e62ff56a1,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,2fe1e9735c90760d470980069bf19be3c253f0b1c3bb892183d29b1ae7ad76eb,CREATED,2026-09-11 09:13:30.393705,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:13:42.885145,0.5502860821790141,,,2026-09-11 09:13:42.885145,
sig_NTPC_202609110913,NTPC,2026-09-11 09:13:46.222536,BUY,LONG,60.90777342089835,335.25,345.3075,325.1925,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609090847,,,,"[{""id"": ""70645b40-4eee-40b8-8dc6-fccf3933200d"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:13:53.285176"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.5115311067455744,0.6090777342089835,1.52,SIDEWAYS,0.5,,,,,feat_snap_NTPC_202609110913,"{""provenance_id"": ""4bf346cf-49c1-4a15-98b4-bfcd1842ed4a"", ""signal_id"": ""sig_NTPC_202609110913"", ""prediction_id"": ""1aa6f2b1-9e00-409d-b567-eb73f36973a9"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609090847"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""1e598a8d714f8ac50f8ccd25fc13268a0cc6ca114004db4da5649d4787450adc"", ""output_hash"": ""1eb635a9ef856d84d715869b0062d07bf0ac06e470f3dafb6ed0989155dedd74"", ""decision_hash"": ""000a7833d0320eb1777c384f6d056855da46fa64a997f26ccc8691afdc172577""}",NSE_NTPC,EQUITY,335.25,,2026-09-11 09:13:46.222536,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,1aa6f2b1-9e00-409d-b567-eb73f36973a9,4bf346cf-49c1-4a15-98b4-bfcd1842ed4a,NTPC Limited,NSE,,EQUITY,1.0,,2026-09-11 09:13:46.222536,2026-09-11,2026-09-11 09:13:46.222536,,UTC,333.57375,336.92625,1.0,60.90777342089835,1.52,mod_NTPC_v2.2,,run_202609090847,v1.0.0,1e598a8d714f8ac50f8ccd25fc13268a0cc6ca114004db4da5649d4787450adc,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,a60bba1ae523b21044698ab1ae35baf6ab6acbfcdf6a2509a7d31818c03d613e,CREATED,2026-09-11 09:13:46.222536,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:13:53.285176,0.6090777342089835,,,2026-09-11 09:13:53.285176,
sig_YESBANK_202609110913,YESBANK,2026-09-11 09:13:55.723628,BUY,LONG,56.42584604420674,23.709999084472656,24.421299057006838,22.998699111938475,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609090815,,,,"[{""id"": ""a1512756-525b-4768-8d48-b596674efafa"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:14:02.811424"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.41210287539388246,0.5642584604420674,0.04,SIDEWAYS,0.5,,,,,feat_snap_YESBANK_202609110913,"{""provenance_id"": ""606085c0-311f-414d-87e3-b3504b15f5bc"", ""signal_id"": ""sig_YESBANK_202609110913"", ""prediction_id"": ""88a57503-641d-4f79-b607-72b0efcbf607"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609090815"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""18e40947bb522041c5420b60ea762855655818b77538aab0fc253ba5645673ff"", ""output_hash"": ""0f6d3536f9b6e107f19886fa36bbf506547c694611f56fa108ba223f1b03a75c"", ""decision_hash"": ""26a831d882b766af486d1b8735961cdc585bb7b5a0034f3e87495a4fdfc037b7""}",NSE_YESBANK,EQUITY,23.709999084472656,,2026-09-11 09:13:55.723628,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,88a57503-641d-4f79-b607-72b0efcbf607,606085c0-311f-414d-87e3-b3504b15f5bc,YESBANK Limited,NSE,,EQUITY,1.0,,2026-09-11 09:13:55.723628,2026-09-11,2026-09-11 09:13:55.723628,,UTC,23.591449089050293,23.828549079895016,1.0,56.42584604420674,0.04,mod_YESBANK_v2.2,,run_202609090815,v1.0.0,18e40947bb522041c5420b60ea762855655818b77538aab0fc253ba5645673ff,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,4f94ba18a3baa5247af4ee637958840d01ad9ffc1f4aec985be5340d9de2ccbd,CREATED,2026-09-11 09:13:55.723628,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:14:02.811424,0.5642584604420674,,,2026-09-11 09:14:02.811424,
sig_ADANIENT_202609110914,ADANIENT,2026-09-11 09:14:14.766541,SELL,SHORT,55.67199922726183,3051.300048828125,2959.7610473632812,3142.8390502929688,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609091046,,,,"[{""id"": ""9460b62c-8a2f-4f5b-b608-bee407dc309e"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:14:21.813316"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.5135142081907271,0.5567199922726183,4.28,SIDEWAYS,0.5,,,,,feat_snap_ADANIENT_202609110914,"{""provenance_id"": ""19f40986-764d-4b77-b52c-2bcca19b01a5"", ""signal_id"": ""sig_ADANIENT_202609110914"", ""prediction_id"": ""60df7123-45a1-41fe-bb39-f7f0a523c256"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609091046"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""b2c0b2c92397d5c9dde7041921961eea4258722e2ea451fbaa5855c23b5a9ee8"", ""output_hash"": ""0e5d60c5d1d96b25c341af9bfa5df9bf47fea2b82be5cc57ce5fcfd432e53872"", ""decision_hash"": ""f22966492f090e6db67bcf81fcfd272937168f4fb2bc7b9e22e2b9fce4087a9d""}",NSE_ADANIENT,EQUITY,3051.300048828125,,2026-09-11 09:14:14.766541,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,60df7123-45a1-41fe-bb39-f7f0a523c256,19f40986-764d-4b77-b52c-2bcca19b01a5,ADANIENT Limited,NSE,,EQUITY,1.0,,2026-09-11 09:14:14.766541,2026-09-11,2026-09-11 09:14:14.766541,,UTC,3036.0435485839844,3066.556549072265,1.0,55.67199922726183,4.28,mod_ADANIENT_v2.2,,run_202609091046,v1.0.0,b2c0b2c92397d5c9dde7041921961eea4258722e2ea451fbaa5855c23b5a9ee8,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,835698dc647ec085674f90dd83ec4e3531bdd3ad7ea743739794e0bd30debe5e,CREATED,2026-09-11 09:14:14.766541,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:14:21.813316,0.5567199922726183,,,2026-09-11 09:14:21.813316,
sig_ZYDUSLIFE_202609110914,ZYDUSLIFE,2026-09-11 09:14:24.244555,BUY,LONG,60.853227188845324,1126.300048828125,1160.0890502929688,1092.5110473632812,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609090741,,,,"[{""id"": ""649be5a0-00e9-4f13-835c-6e95574254f1"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:14:31.303253"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.5615553378180338,0.6085322718884533,5.08,SIDEWAYS,0.5,,,,,feat_snap_ZYDUSLIFE_202609110914,"{""provenance_id"": ""5aea1202-617c-45d4-9c01-fc4a45d1590c"", ""signal_id"": ""sig_ZYDUSLIFE_202609110914"", ""prediction_id"": ""3f8b4a40-12fe-4a52-a6b3-84eaa42c0c83"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609090741"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""b085b822cee690c2dbf853062614ea8a313474bcd67c6baa6459e734e2d9bec5"", ""output_hash"": ""21dd30d4a27051e8f56fa7c6c77a58a6aa88a8ee29c2c56c18559f134c625968"", ""decision_hash"": ""033fc1214685538b09922489ea4139dfe3dc4ae1a69c89caa7d0b3cc5dc033b3""}",NSE_ZYDUSLIFE,EQUITY,1126.300048828125,,2026-09-11 09:14:24.244555,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,3f8b4a40-12fe-4a52-a6b3-84eaa42c0c83,5aea1202-617c-45d4-9c01-fc4a45d1590c,ZYDUSLIFE Limited,NSE,,EQUITY,1.0,,2026-09-11 09:14:24.244555,2026-09-11,2026-09-11 09:14:24.244555,,UTC,1120.6685485839844,1131.9315490722654,1.0,60.853227188845324,5.08,mod_ZYDUSLIFE_v2.2,,run_202609090741,v1.0.0,b085b822cee690c2dbf853062614ea8a313474bcd67c6baa6459e734e2d9bec5,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,250dbc9fab61497f41ce5218b37907515c67d8ec585e2fb71ad369e9ca21fbf0,CREATED,2026-09-11 09:14:24.244555,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:14:31.303253,0.6085322718884533,,,2026-09-11 09:14:31.303253,
sig_UCOBANK_202609110914,UCOBANK,2026-09-11 09:14:33.742933,SELL,SHORT,57.49740043880826,24.010000228881836,23.28970022201538,24.73030023574829,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609090849,,,,"[{""id"": ""a05b4a66-7f22-47a8-a7d3-04628a3e09ac"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:14:40.830875"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.43323056783444236,0.5749740043880827,0.06,SIDEWAYS,0.5,,,,,feat_snap_UCOBANK_202609110914,"{""provenance_id"": ""88c76c57-b0f6-4fff-bc68-8b1ad924cd2d"", ""signal_id"": ""sig_UCOBANK_202609110914"", ""prediction_id"": ""03d93123-6b36-49f4-8d2f-18d7777a1486"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609090849"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""046df361ab02d4004cdd21f1b808a432ded3246cb503e98e7afeb89d210c166f"", ""output_hash"": ""fff1f17495cbbb530a3b04c0d0b8d79b71bbeaee21d376b3daab7a598f352def"", ""decision_hash"": ""e79efa9caa94292a2df442b67b795ecde74ee18e9c9a77d40396a5c4c6236c54""}",NSE_UCOBANK,EQUITY,24.010000228881836,,2026-09-11 09:14:33.742933,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,03d93123-6b36-49f4-8d2f-18d7777a1486,88c76c57-b0f6-4fff-bc68-8b1ad924cd2d,UCOBANK Limited,NSE,,EQUITY,1.0,,2026-09-11 09:14:33.742933,2026-09-11,2026-09-11 09:14:33.742933,,UTC,23.889950227737426,24.130050230026242,1.0,57.49740043880826,0.06,mod_UCOBANK_v2.2,,run_202609090849,v1.0.0,046df361ab02d4004cdd21f1b808a432ded3246cb503e98e7afeb89d210c166f,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,4853d868d8c923f0693b311811e15c25e5555a2780511deec316c1b842b0160d,CREATED,2026-09-11 09:14:33.742933,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:14:40.830875,0.5749740043880827,,,2026-09-11 09:14:40.830875,
sig_BPCL_202609110914,BPCL,2026-09-11 09:14:43.275992,BUY,LONG,61.307323961855744,301.95001220703125,311.0085125732422,292.8915118408203,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609091047,,,,"[{""id"": ""9946cd57-0251-4d67-80f0-17a25e76f4c1"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:14:50.346389"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.45793881358479593,0.6130732396185574,1.44,SIDEWAYS,0.5,,,,,feat_snap_BPCL_202609110914,"{""provenance_id"": ""10c48b24-f396-4294-a284-4872f5dc0c50"", ""signal_id"": ""sig_BPCL_202609110914"", ""prediction_id"": ""ae37dfdc-1e28-48f7-8914-6f975a9c1bb0"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609091047"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""889b1039d779ece0504bd5ad854aefaca83526da1f6539df349f941ac78d9914"", ""output_hash"": ""ae0854096efaeff817c948aa69f794543839aeb38cfa7824bc6a6e4b3c403912"", ""decision_hash"": ""1de06bc0b4dd84788c2fb9173bcf55944b54311da8642e99da7f082890f0c73d""}",NSE_BPCL,EQUITY,301.95001220703125,,2026-09-11 09:14:43.275992,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,ae37dfdc-1e28-48f7-8914-6f975a9c1bb0,10c48b24-f396-4294-a284-4872f5dc0c50,BPCL Limited,NSE,,EQUITY,1.0,,2026-09-11 09:14:43.275992,2026-09-11,2026-09-11 09:14:43.275992,,UTC,300.4402621459961,303.45976226806636,1.0,61.307323961855744,1.44,mod_BPCL_v2.2,,run_202609091047,v1.0.0,889b1039d779ece0504bd5ad854aefaca83526da1f6539df349f941ac78d9914,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,a57d0d218ceab1b65e4d22cf6b806866db211c44b0d37632e4e382a299dbba16,CREATED,2026-09-11 09:14:43.275992,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:14:50.346389,0.6130732396185574,,,2026-09-11 09:14:50.346389,
sig_COALINDIA_202609110920,COALINDIA,2026-09-11 09:20:24.422115,BUY,LONG,55.02860821790141,426.20001220703125,467.04,409.86,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609091048,,,,"[{""id"": ""f6e67734-70b0-45de-bef6-39cbbd594955"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:20:37.148432"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.5447595885909208,0.5502860821790141,14.26,SIDEWAYS,0.5,,,,,feat_snap_COALINDIA_202609110920,"{""provenance_id"": ""5399ef98-6bce-4a31-9aad-1486279b8189"", ""signal_id"": ""sig_COALINDIA_202609110920"", ""prediction_id"": ""5ca0a114-d1e0-4ef2-93b0-bded4e1611c9"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609091048"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""5f1ea9421a41f03a588767bfbcb005c17aed57a6e1b58393f6e5837e62ff56a1"", ""output_hash"": ""37dc8949d60daf680a3f201f83342e67eb5708d4f4a1231b3120ae66c0839769"", ""decision_hash"": ""00720a2520d789213650bc57355ef533c9dcf7a7d5f547dd5f28540b217b2823""}",NSE_COALINDIA,EQUITY,426.20001220703125,,2026-09-11 09:20:24.422115,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,5ca0a114-d1e0-4ef2-93b0-bded4e1611c9,5399ef98-6bce-4a31-9aad-1486279b8189,COALINDIA Limited,NSE,,EQUITY,1.0,,2026-09-11 09:20:24.422115,2026-09-11,2026-09-11 09:20:24.422115,,UTC,424.0690121459961,428.3310122680664,2.5,55.02860821790141,14.26,mod_COALINDIA_v2.2,,run_202609091048,v1.0.0,5f1ea9421a41f03a588767bfbcb005c17aed57a6e1b58393f6e5837e62ff56a1,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,2fe1e9735c90760d470980069bf19be3c253f0b1c3bb892183d29b1ae7ad76eb,CREATED,2026-09-11 09:20:24.422115,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:20:37.148432,0.5502860821790141,,,2026-09-11 09:20:37.148432,
sig_NTPC_202609110920,NTPC,2026-09-11 09:20:40.337419,BUY,LONG,60.90777342089835,335.25,360.78,325.04,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609090847,,,,"[{""id"": ""9b3b51be-57c2-4c4c-a0c0-483d7e57073a"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:20:47.937979"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.5115311067455744,0.6090777342089835,10.88,SIDEWAYS,0.5,,,,,feat_snap_NTPC_202609110920,"{""provenance_id"": ""a0102490-4d15-41f5-aeae-1f8e688ac746"", ""signal_id"": ""sig_NTPC_202609110920"", ""prediction_id"": ""553df963-8203-4ede-a6fe-f11e9efb4fd2"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609090847"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""1e598a8d714f8ac50f8ccd25fc13268a0cc6ca114004db4da5649d4787450adc"", ""output_hash"": ""1eb635a9ef856d84d715869b0062d07bf0ac06e470f3dafb6ed0989155dedd74"", ""decision_hash"": ""2787d3eac3652763aa1d1b19e82e360515e1465676cdbb204317220fe311ae61""}",NSE_NTPC,EQUITY,335.25,,2026-09-11 09:20:40.337419,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,553df963-8203-4ede-a6fe-f11e9efb4fd2,a0102490-4d15-41f5-aeae-1f8e688ac746,NTPC Limited,NSE,,EQUITY,1.0,,2026-09-11 09:20:40.337419,2026-09-11,2026-09-11 09:20:40.337419,,UTC,333.57375,336.92625,2.5,60.90777342089835,10.88,mod_NTPC_v2.2,,run_202609090847,v1.0.0,1e598a8d714f8ac50f8ccd25fc13268a0cc6ca114004db4da5649d4787450adc,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,a60bba1ae523b21044698ab1ae35baf6ab6acbfcdf6a2509a7d31818c03d613e,CREATED,2026-09-11 09:20:40.337419,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:20:47.937979,0.6090777342089835,,,2026-09-11 09:20:47.937979,
sig_YESBANK_202609110920,YESBANK,2026-09-11 09:20:50.378778,BUY,LONG,56.42584604420674,23.709999084472656,26.74,22.5,SWING,WAITING_FOR_ENTRY,,,0.0,0.0,202609090815,,,,"[{""id"": ""ce29e60d-3e2c-40f3-baba-13f837e1a3a3"", ""type"": ""GENERATED"", ""timestamp"": ""2026-09-11T09:20:57.462522"", ""price"": null, ""message"": ""Passed forensic P0 risk/edge audit."", ""metadata"": {}}]",,EQUITY,,,,,,,0.41210287539388246,0.5642584604420674,1.13,SIDEWAYS,0.5,,,,,feat_snap_YESBANK_202609110920,"{""provenance_id"": ""cb1b2d67-b4bf-445d-b0f1-9c403dc450a8"", ""signal_id"": ""sig_YESBANK_202609110920"", ""prediction_id"": ""00d5cc44-533b-49d1-8ebb-9c68e8f45e5e"", ""data_snapshot_timestamp"": ""2026-09-11T00:00:00"", ""model_version"": ""202609090815"", ""strategy_version"": ""v2.2"", ""feature_version"": ""v1.0.0"", ""data_sources"": {""price"": ""YFinance_Canonical"", ""indicators"": ""DuckDB-TA""}, ""source_timestamps"": {""market_data"": ""2026-09-11T00:00:00""}, ""input_hash"": ""18e40947bb522041c5420b60ea762855655818b77538aab0fc253ba5645673ff"", ""output_hash"": ""0f6d3536f9b6e107f19886fa36bbf506547c694611f56fa108ba223f1b03a75c"", ""decision_hash"": ""63425c1f632831850a2fd50b3b4d0bc7971a043a1fd298aa7c4213c512bae85b""}",NSE_YESBANK,EQUITY,23.709999084472656,,2026-09-11 09:20:50.378778,,1.0,,,NIFTY_200_AUG2026,2026-09-11,,TEST,,,,,ELIGIBLE,False,1,100000.0,,,,v2.2,00d5cc44-533b-49d1-8ebb-9c68e8f45e5e,cb1b2d67-b4bf-445d-b0f1-9c403dc450a8,YESBANK Limited,NSE,,EQUITY,1.0,,2026-09-11 09:20:50.378778,2026-09-11,2026-09-11 09:20:50.378778,,UTC,23.591449089050293,23.828549079895016,2.5,56.42584604420674,1.13,mod_YESBANK_v2.2,,run_202609090815,v1.0.0,18e40947bb522041c5420b60ea762855655818b77538aab0fc253ba5645673ff,YFinance_Canonical,2026-09-11,NIFTY_200_AUG2026,4f94ba18a3baa5247af4ee637958840d01ad9ffc1f4aec985be5340d9de2ccbd,CREATED,2026-09-11 09:20:50.378778,,,,,,,,,FRESH,YFinance_Live,FRESH,CERTIFIED,PENDING,,,2026-09-11 09:20:57.462522,0.5642584604420674,,,2026-09-11 09:20:57.462522,
