symbol,model_path,model_version,strategy_version,feature_count,load_status,inference_status,error
DIXON,backend/ml/registry/DIXON_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DLF,backend/ml/registry/DLF_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
DRREDDY,backend/ml/registry/DRREDDY_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
EICHERMOT,backend/ml/registry/EICHERMOT_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
ESCORTS,backend/ml/registry/ESCORTS_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
EXIDEIND,backend/ml/registry/EXIDEIND_rf_202608180605.joblib,202608180605,v2.2,11,PASSED,PASSED,
FEDERALBNK,backend/ml/registry/FEDERALBNK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
FORTIS,backend/ml/registry/FORTIS_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
GAIL,backend/ml/registry/GAIL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
GLENMARK,backend/ml/registry/GLENMARK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
GMRINFRA,backend/ml/registry/GMRINFRA_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
GODREJCP,backend/ml/registry/GODREJCP_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
GODREJPROP,backend/ml/registry/GODREJPROP_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
GRASIM,backend/ml/registry/GRASIM_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
GUJGASLTD,,,v2.2,0,FAILED,FAILED,NO_CHAMPION_IN_REGISTRY
HAL,backend/ml/registry/HAL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HAVELLS,backend/ml/registry/HAVELLS_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HCLTECH,backend/ml/registry/HCLTECH_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HDFCBANK,backend/ml/registry/HDFCBANK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HDFCLIFE,backend/ml/registry/HDFCLIFE_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HEROMOTOCO,backend/ml/registry/HEROMOTOCO_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HINDALCO,backend/ml/registry/HINDALCO_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HINDCOPPER,backend/ml/registry/HINDCOPPER_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HINDPETRO,backend/ml/registry/HINDPETRO_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HINDUNILVR,backend/ml/registry/HINDUNILVR_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HINDZINC,backend/ml/registry/HINDZINC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
HUDCO,backend/ml/registry/HUDCO_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
ICICIBANK,backend/ml/registry/ICICIBANK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
ICICIGI,backend/ml/registry/ICICIGI_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
ICICIPRULI,backend/ml/registry/ICICIPRULI_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
IDBI,backend/ml/registry/IDBI_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
IDFCFIRSTB,backend/ml/registry/IDFCFIRSTB_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
IGL,backend/ml/registry/IGL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
INDHOTEL,backend/ml/registry/INDHOTEL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
INDIAMART,backend/ml/registry/INDIAMART_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
INDIANB,backend/ml/registry/INDIANB_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
INDIGO,backend/ml/registry/INDIGO_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
INDUSINDBK,backend/ml/registry/INDUSINDBK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
INDUSTOWER,backend/ml/registry/INDUSTOWER_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
INFY,backend/ml/registry/INFY_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
IOC,backend/ml/registry/IOC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
IRB,backend/ml/registry/IRB_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
IRCTC,backend/ml/registry/IRCTC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
IRFC,backend/ml/registry/IRFC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
ITC,backend/ml/registry/ITC_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
JINDALSTEL,backend/ml/registry/JINDALSTEL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
JSWENERGY,backend/ml/registry/JSWENERGY_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
JSWSTEEL,backend/ml/registry/JSWSTEEL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
JUBLFOOD,backend/ml/registry/JUBLFOOD_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
KALYANKJIL,backend/ml/registry/KALYANKJIL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
KANSAINER,backend/ml/registry/KANSAINER_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
KARURVYSYA,backend/ml/registry/KARURVYSYA_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
KEI,backend/ml/registry/KEI_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
KOTAKBANK,backend/ml/registry/KOTAKBANK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
KPITTECH,backend/ml/registry/KPITTECH_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
L&TFH,backend/ml/registry/L&TFH_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
LICHSGFIN,backend/ml/registry/LICHSGFIN_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
LICI,backend/ml/registry/LICI_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
LT,backend/ml/registry/LT_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
LTIM,,,v2.2,0,FAILED,FAILED,NO_CHAMPION_IN_REGISTRY
LUPIN,backend/ml/registry/LUPIN_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
M&M,backend/ml/registry/M&M_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
M&MFIN,backend/ml/registry/M&MFIN_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MAHABANK,backend/ml/registry/MAHABANK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MANAPPURAM,backend/ml/registry/MANAPPURAM_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MARICO,backend/ml/registry/MARICO_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MARUTI,backend/ml/registry/MARUTI_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MAXHEALTH,backend/ml/registry/MAXHEALTH_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MAZDOCK,backend/ml/registry/MAZDOCK_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MFSL,backend/ml/registry/MFSL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MGL,backend/ml/registry/MGL_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MPHASIS,backend/ml/registry/MPHASIS_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MRF,backend/ml/registry/MRF_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
MUTHOOTFIN,backend/ml/registry/MUTHOOTFIN_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
NATIONALUM,backend/ml/registry/NATIONALUM_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
NAVINFLUOR,backend/ml/registry/NAVINFLUOR_rf_202608180606.joblib,202608180606,v2.2,11,PASSED,PASSED,
