final_return,max_drawdown
1747.164850734565,-21.258354492756624
1747.1648507345594,-26.79000010833216
1747.1648507345676,-17.842366428468736
1747.1648507345626,-11.421616326046465
1747.1648507345637,-21.823917765395866
1747.1648507345694,-12.073954353212201
1747.1648507345637,-34.836806950746364
1747.1648507345606,-32.97332383391889
1747.1648507345612,-51.80373732427066
1747.1648507345683,-18.629459293352976
1747.1648507345674,-20.432912087774426
1747.164850734568,-20.822232441763035
1747.164850734565,-17.174554977758202
1747.1648507345683,-29.69570325773993
1747.16485073456,-14.91500486355917
1747.1648507345617,-33.70589018941873
1747.1648507345674,-23.137637725425066
1747.1648507345694,-42.73366718557945
1747.1648507345587,-35.34091233598466
1747.1648507345606,-25.939170176691928
1747.1648507345637,-40.62634365468545
1747.164850734565,-34.33238211270108
1747.1648507345662,-13.581214650345602
1747.164850734565,-17.745139185827718
1747.1648507345687,-14.148472441191709
1747.1648507345617,-15.305795167883025
1747.1648507345676,-10.512833236325623
1747.1648507345642,-41.376336216069554
1747.164850734563,-16.603977515812204
1747.164850734563,-10.475820506080193
1747.1648507345624,-20.24718577689828
1747.1648507345594,-29.21118283987571
1747.1648507345656,-35.75454978603539
1747.164850734569,-26.540903850914045
1747.164850734567,-30.22925080467323
1747.1648507345585,-27.660170767895124
1747.1648507345649,-34.374769732037194
1747.164850734563,-27.572749599109166
1747.1648507345612,-26.019420338531273
1747.1648507345649,-19.126403314061193
1747.1648507345662,-14.473201822196677
1747.1648507345617,-13.881660936397136
1747.1648507345656,-15.61518174405746
1747.1648507345687,-18.79753179863497
1747.164850734563,-21.200351894156128
1747.1648507345624,-15.870061333607993
1747.1648507345658,-33.646152074828514
1747.1648507345658,-18.626323767778842
1747.1648507345626,-11.399154534896136
1747.164850734567,-21.730984859331766
1747.16485073456,-12.538700833155719
1747.1648507345662,-33.97649810725291
1747.1648507345712,-14.624118648495275
1747.1648507345687,-29.30861732428075
1747.1648507345649,-31.982023393490287
1747.1648507345642,-16.047227521359588
1747.1648507345624,-26.234847657437367
1747.1648507345667,-14.756360849274685
1747.1648507345637,-22.824667445537226
1747.164850734569,-16.608705497482195
1747.1648507345658,-18.330030737713187
1747.1648507345626,-27.15464402229219
1747.1648507345599,-18.178306570010157
1747.16485073456,-23.40872665733563
1747.16485073456,-21.34762397412916
1747.1648507345612,-13.504698246829758
1747.164850734561,-32.09721742809915
1747.1648507345626,-24.28348042503166
1747.1648507345656,-13.164391313457418
1747.1648507345624,-13.086540937723798
1747.1648507345658,-18.210255245113704
1747.164850734565,-32.56294170274766
1747.1648507345587,-8.233508889982561
1747.1648507345617,-44.909830522323915
1747.1648507345585,-21.340556482930097
1747.1648507345683,-18.356866092195204
1747.164850734558,-30.63400313803406
1747.1648507345585,-11.374450292981999
1747.1648507345658,-28.69225318041771
1747.1648507345658,-19.716286681949757
1747.1648507345637,-23.894143995307225
1747.1648507345667,-32.87248944217016
1747.1648507345594,-21.44345631758422
1747.16485073456,-20.387350015939084
1747.1648507345617,-13.79752969926891
1747.16485073456,-14.09018823351928
1747.1648507345674,-17.0905814993004
1747.164850734563,-15.959083063378618
1747.1648507345626,-34.337927966465294
1747.1648507345658,-7.956163260724897
1747.1648507345594,-20.890935920830657
1747.1648507345606,-18.23063418878405
1747.1648507345699,-14.53336832471646
1747.1648507345712,-19.981037641740865
1747.1648507345599,-27.52993053087983
1747.1648507345676,-14.784191579674063
1747.1648507345662,-22.552978761482333
1747.164850734565,-17.03240088458566
1747.1648507345726,-32.20599683918382
1747.1648507345662,-44.21784709993986
1747.164850734569,-20.976027438782403
1747.1648507345637,-22.498786371682808
1747.1648507345656,-10.675985618356556
1747.1648507345617,-16.521658643317057
1747.1648507345699,-14.552671730440519
1747.1648507345635,-32.300359814344986
1747.1648507345674,-25.362870720172005
1747.1648507345649,-14.389147477417563
1747.1648507345674,-30.08941175123149
1747.1648507345592,-28.004584451742375
1747.1648507345662,-12.862951249533388
1747.1648507345662,-10.950804476563208
1747.1648507345599,-38.30355431154264
1747.1648507345635,-18.94971516334533
1747.1648507345674,-19.396133205527573
1747.1648507345642,-27.227648578068386
1747.1648507345606,-28.778492486211878
1747.1648507345624,-12.74466297473146
1747.1648507345656,-16.489083718493486
1747.1648507345667,-41.26952536756245
1747.1648507345642,-13.96414795618806
1747.1648507345642,-22.598888502736585
1747.1648507345592,-30.948298466308966
1747.1648507345637,-36.057020638899026
1747.1648507345674,-50.723438444358074
1747.1648507345637,-17.996608408656517
1747.164850734565,-18.0231243081849
1747.1648507345637,-22.34041512438067
1747.1648507345712,-27.10746177833492
1747.1648507345683,-16.017175827932036
1747.1648507345592,-13.403012265997887
1747.1648507345626,-13.7192480739636
1747.1648507345626,-17.89809756794878
1747.1648507345662,-16.225702577958494
1747.1648507345624,-16.00391923673723
1747.1648507345667,-13.120950891499506
1747.1648507345662,-12.775817824770542
1747.1648507345656,-26.893008022662467
1747.1648507345606,-11.10587871757049
1747.1648507345674,-15.135651164970376
1747.1648507345624,-16.40288618915769
1747.1648507345637,-26.07447460481206
1747.1648507345658,-22.954431803251268
1747.164850734561,-39.08998855580118
1747.1648507345667,-16.059531938782538
1747.1648507345626,-12.137872817513282
1747.1648507345635,-19.79801050177514
1747.1648507345667,-13.758514460768753
1747.1648507345617,-23.88873090687154
1747.1648507345662,-15.886314325653759
1747.1648507345658,-52.408592978953486
1747.1648507345642,-11.518427969700046
1747.1648507345617,-46.07689067344951
1747.1648507345576,-22.873535748020096
1747.1648507345624,-13.632466878932123
1747.164850734561,-26.89375496997657
1747.164850734565,-10.826259054208409
1747.1648507345626,-26.933009931696866
1747.1648507345656,-23.202645269580128
1747.164850734562,-21.76027543186308
1747.164850734565,-26.489169700170667
1747.1648507345674,-20.086772602741505
1747.1648507345642,-33.80899680983845
1747.1648507345658,-36.7973624422422
1747.164850734567,-14.489847318026214
1747.1648507345708,-31.305966912866435
1747.164850734561,-28.352900634071553
1747.164850734565,-10.426565974688959
1747.1648507345585,-20.491629719239743
1747.164850734563,-30.917438531254643
1747.1648507345733,-33.379691254966446
1747.1648507345599,-18.87989151261644
1747.1648507345635,-15.7509756037609
1747.164850734568,-44.91907935168559
1747.164850734562,-24.2254823166377
1747.1648507345587,-18.153093734487065
1747.164850734563,-31.199441408381855
1747.1648507345674,-23.812741875652844
1747.1648507345574,-14.109074594278278
1747.1648507345656,-19.172958696031905
1747.164850734558,-24.98441903050515
1747.164850734562,-19.52916250299283
1747.1648507345674,-22.689121528024927
1747.1648507345656,-29.04334842325575
1747.1648507345594,-22.98262414843885
1747.1648507345649,-16.272517855534087
1747.164850734562,-22.37956582319826
1747.1648507345667,-26.91027448771917
1747.1648507345667,-17.398507864497375
1747.1648507345637,-23.348021444107463
1747.1648507345626,-22.2128729706099
1747.1648507345637,-35.08835709016208
1747.1648507345599,-13.25179776713209
1747.1648507345626,-28.337291114277907
1747.1648507345635,-23.33897827080999
1747.1648507345687,-28.426016836192126
1747.1648507345676,-21.848087459369314
1747.1648507345635,-30.09823983446294
1747.1648507345656,-10.644506006463118
1747.1648507345635,-35.44495986434235
1747.164850734562,-12.518405082176923
1747.1648507345674,-19.043657392555208
1747.164850734561,-28.06745614908774
1747.16485073456,-11.564172334120807
1747.1648507345606,-14.926377516704608
1747.1648507345642,-30.222365220176634
1747.1648507345624,-23.19168778061875
1747.1648507345592,-14.796529297503236
1747.1648507345658,-20.130293550662454
1747.1648507345635,-15.413925511799409
1747.164850734563,-26.768450628586425
1747.164850734562,-24.318034312052184
1747.1648507345667,-20.936010138841016
1747.164850734561,-19.93126203672294
1747.1648507345637,-15.972317730974936
1747.1648507345635,-25.48607152380541
1747.164850734558,-35.30510726609471
1747.164850734561,-16.69374403640488
1747.1648507345626,-18.96754394241879
1747.1648507345699,-15.121718304575326
1747.1648507345674,-28.132043078504378
1747.1648507345656,-33.89682109508612
1747.164850734558,-18.442701496819446
1747.1648507345674,-18.26785229555821
1747.1648507345626,-31.927155263796863
1747.1648507345544,-16.25059071958653
1747.1648507345576,-24.54414448288605
1747.1648507345624,-12.91647239199089
1747.164850734573,-17.96374817543755
1747.1648507345687,-26.52907590492108
1747.1648507345649,-17.83742891758469
1747.164850734561,-17.31568183493616
1747.164850734565,-21.710666875231663
1747.1648507345694,-15.027102601521666
1747.164850734567,-17.545924614179256
1747.164850734568,-15.635133011299452
1747.1648507345649,-19.963466779226398
1747.1648507345642,-25.773929004365314
1747.1648507345674,-20.54877637008458
1747.1648507345674,-17.596299392881804
1747.1648507345676,-11.99950506187226
1747.164850734575,-22.056931228782695
1747.1648507345635,-8.436253749090364
1747.1648507345624,-28.044692549891177
1747.1648507345642,-47.41409120807904
1747.1648507345637,-20.37695419186861
1747.164850734569,-23.84615436359722
1747.1648507345649,-36.31027934470355
1747.164850734565,-34.19384270221403
1747.164850734565,-31.267197903181938
1747.1648507345626,-19.21707970156417
1747.1648507345658,-20.3843829676152
1747.1648507345662,-26.471037366909822
1747.1648507345556,-14.924420236600477
1747.1648507345662,-13.20681963672919
1747.1648507345642,-46.7619520378105
1747.1648507345726,-16.502725106669402
1747.164850734558,-19.855766509287783
1747.164850734563,-29.736639166146585
1747.1648507345674,-22.174268566129545
1747.1648507345612,-28.064024935709615
1747.164850734563,-20.81211342113697
1747.1648507345708,-9.070690621904545
1747.1648507345656,-32.07699364695424
1747.1648507345687,-34.011700765036345
1747.1648507345656,-12.9702798134963
1747.1648507345642,-11.02274220763194
1747.1648507345626,-17.873799566038905
1747.164850734562,-14.999579728878231
1747.164850734569,-27.511245450501843
1747.1648507345594,-21.530008511039885
1747.1648507345594,-30.36786884213578
1747.1648507345656,-29.532096917149058
1747.164850734561,-14.084302818634544
1747.1648507345599,-16.822883713333766
1747.1648507345656,-36.420744802912225
1747.1648507345635,-24.232152580823882
1747.16485073456,-16.66749218773671
1747.164850734568,-24.390464059354
1747.1648507345553,-16.36178801395919
1747.1648507345626,-36.13753734049302
1747.1648507345635,-18.74261917629766
1747.164850734565,-23.590508960252848
1747.1648507345662,-30.610625916278885
1747.1648507345617,-20.757041926238497
1747.1648507345626,-32.31488567559416
1747.164850734567,-25.3377621364752
1747.1648507345683,-23.40105887384145
1747.1648507345637,-26.753566169378075
1747.1648507345726,-11.12774434759678
1747.16485073456,-35.03535099370774
1747.164850734563,-28.059513069850656
1747.1648507345612,-14.898909143483424
1747.1648507345658,-19.968208907608613
1747.164850734558,-14.886916840689391
1747.16485073457,-15.01919696829881
1747.1648507345624,-47.167402026921884
1747.1648507345662,-27.69411174445019
1747.1648507345562,-35.338392352855585
1747.1648507345612,-16.062718699583996
1747.164850734563,-20.197735761014165
1747.1648507345626,-15.71903555642891
1747.1648507345635,-17.394094702782212
1747.1648507345642,-32.419688960787425
1747.1648507345642,-28.47255886039007
1747.1648507345674,-21.130688017271588
1747.1648507345649,-10.96849536843857
1747.164850734563,-38.23736122500821
1747.1648507345662,-19.662879031201776
1747.1648507345674,-29.212327177017812
1747.1648507345642,-15.811209115819358
1747.1648507345624,-26.72834628122846
1747.1648507345706,-31.069691648537006
1747.1648507345694,-18.180962131304188
1747.1648507345656,-15.406387331359413
1747.1648507345658,-19.15249392711961
1747.1648507345676,-29.486437623864248
1747.1648507345656,-26.11924906651292
1747.1648507345662,-20.680698301872027
1747.1648507345612,-18.924365703954642
1747.1648507345642,-33.83660937019719
1747.1648507345658,-38.25983355633778
1747.1648507345699,-16.22216180231896
1747.1648507345694,-33.60114366232149
1747.1648507345626,-14.06605888154646
1747.1648507345708,-15.353508873394144
1747.1648507345635,-13.216440809762432
1747.1648507345587,-27.62055891747009
1747.1648507345562,-35.24845622155166
1747.1648507345724,-34.35880503611747
1747.1648507345656,-55.52037438568635
1747.1648507345594,-15.349945992887278
1747.1648507345626,-11.173327645121855
1747.1648507345642,-13.261826203398558
1747.1648507345687,-37.3058836174361
1747.1648507345637,-15.311465998442081
1747.1648507345649,-26.154097899972545
1747.1648507345637,-17.198231793493797
1747.1648507345637,-22.73778557239081
1747.164850734567,-19.746345057338676
1747.164850734568,-48.1702781066063
1747.164850734563,-15.967918859313182
1747.1648507345649,-15.996081862620334
1747.1648507345649,-21.14322976725397
1747.164850734567,-24.660702554491216
1747.1648507345635,-45.59353429074074
1747.1648507345624,-26.497638484119808
1747.1648507345642,-11.936628952817156
1747.1648507345626,-15.019469785483938
1747.164850734568,-13.579112533579297
1747.164850734565,-38.747642120646994
1747.1648507345676,-26.14614519352892
1747.164850734569,-14.182304615131663
1747.1648507345658,-26.802149667203008
1747.1648507345674,-24.32739891840458
1747.164850734561,-16.662150302114064
1747.1648507345612,-17.198297063563135
1747.1648507345667,-10.82170444945134
1747.1648507345637,-14.364782762756839
1747.1648507345667,-32.286209492239784
1747.1648507345592,-56.191366896790406
1747.1648507345617,-31.057304421463783
1747.1648507345674,-23.249229444038527
1747.1648507345642,-16.28537109491875
1747.1648507345687,-32.71230876100742
1747.1648507345637,-37.307439730814835
1747.164850734565,-19.815380227702892
1747.1648507345699,-11.841179850910642
1747.1648507345635,-22.04657957575463
1747.1648507345606,-53.20070942952946
1747.164850734565,-30.455781985632402
1747.1648507345624,-20.283230704858646
1747.164850734562,-13.9977356462161
1747.1648507345624,-44.15495180555908
1747.164850734565,-38.59157765774513
1747.1648507345587,-14.525430315086712
1747.1648507345612,-12.027993329600358
1747.1648507345656,-12.494672732943135
1747.16485073457,-22.004626958679136
1747.1648507345594,-13.439634573169792
1747.1648507345624,-25.202803127935304
1747.164850734565,-31.654405462600916
1747.1648507345592,-17.31298657430861
1747.1648507345612,-17.588449049305552
1747.1648507345656,-15.911152468139619
1747.1648507345635,-11.537998212914868
1747.1648507345617,-45.769667013364305
1747.1648507345667,-13.069847791331474
1747.1648507345637,-14.308284208594477
1747.1648507345637,-18.99250613933799
1747.164850734567,-17.88173440947995
1747.1648507345667,-9.461636494422535
1747.1648507345649,-30.344231551437908
1747.164850734567,-60.18458366970292
1747.1648507345674,-13.565321301456043
1747.1648507345726,-13.629410250592267
1747.164850734567,-25.316239408305023
1747.1648507345587,-17.01656893633307
1747.1648507345683,-11.816297729123033
1747.164850734573,-19.780475778303842
1747.1648507345624,-13.978844839122138
1747.1648507345599,-24.891803542904686
1747.1648507345594,-11.730965415554232
1747.164850734563,-23.07471145003711
1747.164850734565,-18.934453158816705
1747.1648507345635,-48.834851451090415
1747.164850734567,-33.11656036408743
1747.1648507345637,-34.66447900371842
1747.1648507345687,-20.822334549731845
1747.164850734562,-28.17336827311181
1747.164850734562,-45.219765610111246
1747.1648507345637,-17.360928098901685
1747.1648507345658,-22.757753838652672
1747.16485073456,-30.150092786524592
1747.1648507345658,-20.406608699234773
1747.1648507345599,-19.9931922260509
1747.1648507345599,-26.831922817177308
1747.164850734565,-17.60189410051829
1747.1648507345676,-12.994786619525108
1747.1648507345649,-19.397961331298823
1747.164850734568,-17.321591310237523
1747.1648507345637,-11.997510508139722
1747.1648507345624,-14.764579968209551
1747.164850734562,-32.248204836377695
1747.1648507345642,-20.765079843736007
1747.1648507345606,-8.825935497051965
1747.1648507345612,-33.21736232660736
1747.1648507345635,-14.502289747520559
1747.1648507345662,-27.227726075442384
1747.16485073457,-28.968061889871787
1747.1648507345674,-33.16104782632568
1747.1648507345635,-37.91039906501032
1747.1648507345637,-38.39005520973657
1747.1648507345662,-43.282947125124785
1747.1648507345658,-59.88892657012944
1747.1648507345626,-12.824730567570233
1747.1648507345635,-21.224727432869862
1747.1648507345662,-19.603215441493376
1747.1648507345662,-22.868753837739742
1747.164850734565,-19.141622059517744
1747.1648507345656,-30.444722954926256
1747.1648507345708,-20.918600960972398
1747.1648507345635,-18.818159275145433
1747.1648507345694,-13.014795222196565
1747.1648507345606,-16.80386429076779
1747.1648507345635,-31.229000173211137
1747.1648507345637,-27.868478727221785
1747.1648507345662,-25.212618575427292
1747.1648507345662,-32.01683206660173
1747.1648507345649,-20.872839529405702
1747.1648507345606,-14.211278380831926
1747.1648507345626,-26.550428717115064
1747.1648507345587,-20.691049895062186
1747.1648507345624,-28.726811108856854
1747.1648507345658,-50.85968195483183
1747.1648507345687,-12.610509200846915
1747.1648507345617,-26.0106029031319
1747.1648507345612,-18.896691487425933
1747.1648507345676,-21.347980285418746
1747.1648507345626,-17.71156452206219
1747.1648507345617,-13.888767848500189
1747.1648507345624,-21.30403698342384
1747.1648507345635,-18.97258513229496
1747.1648507345637,-35.54811367507448
1747.1648507345635,-40.06856128769262
1747.1648507345662,-20.960316823584378
1747.1648507345687,-24.031790129752224
1747.1648507345683,-11.545572360645659
1747.164850734567,-16.575955476851416
1747.1648507345706,-18.60607225622906
1747.164850734568,-29.679199461288437
1747.1648507345674,-38.829238278992435
1747.164850734563,-13.814816940820766
1747.1648507345617,-21.570255591551728
1747.164850734568,-31.896666781781935
1747.1648507345635,-28.988076493336212
1747.164850734565,-19.21730213404794
1747.1648507345594,-20.9865685116643
1747.1648507345687,-28.11413221549937
1747.164850734567,-24.29063106132356
1747.164850734567,-48.35973532481868
1747.1648507345637,-61.83107129144253
1747.1648507345662,-18.894450364768176
1747.164850734561,-13.241397078520922
1747.1648507345687,-25.308627055342175
1747.1648507345649,-12.802796694345922
1747.1648507345599,-19.197413539301152
1747.1648507345662,-32.381209305706236
1747.1648507345687,-40.131837490218494
1747.164850734567,-25.514401994174353
1747.16485073456,-26.472509163267315
1747.16485073456,-14.029110807930028
1747.164850734562,-22.82284488005586
1747.1648507345637,-13.447126063761186
1747.164850734567,-7.530079581918393
1747.164850734569,-34.367007686092506
1747.1648507345656,-14.519028884788835
1747.1648507345649,-12.25616724714564
1747.1648507345642,-19.209602485483416
1747.1648507345617,-30.066066019176485
1747.164850734565,-14.03199962259043
1747.1648507345706,-36.772848735442956
1747.1648507345676,-17.33376894394497
1747.1648507345624,-37.563850829385146
1747.1648507345635,-17.91762419593735
1747.164850734568,-25.090633506067206
1747.1648507345676,-15.918897688111732
1747.164850734561,-31.810564222461274
1747.1648507345667,-12.444937688091668
1747.1648507345606,-22.788899075350685
1747.1648507345667,-49.12188294036592
1747.164850734567,-34.925122282524406
1747.1648507345617,-14.330899157297134
1747.1648507345606,-29.123888761076
1747.1648507345674,-20.568753404050142
1747.1648507345676,-16.209292052895677
1747.1648507345635,-40.72126358378563
1747.1648507345626,-16.602247337099183
1747.1648507345667,-28.970117779842546
1747.164850734562,-29.991256400223637
1747.1648507345683,-23.330858577821058
1747.1648507345612,-14.72060799655013
1747.1648507345624,-14.462975433994227
1747.1648507345594,-26.609725924729716
1747.1648507345624,-22.61678017380069
1747.164850734565,-35.34228943823812
1747.1648507345635,-17.376749187260874
1747.1648507345612,-11.753509038441134
1747.1648507345658,-20.996436223969024
1747.1648507345642,-11.915451956128722
1747.1648507345662,-20.835672651779465
1747.1648507345617,-26.84437109167342
1747.1648507345649,-23.494122112105458
1747.1648507345642,-18.82473227007939
1747.1648507345642,-28.501305250013292
1747.1648507345587,-16.93579574655886
1747.1648507345606,-26.287525587164566
1747.1648507345576,-24.421929736502186
1747.164850734565,-15.804172850779445
1747.1648507345637,-25.25930608838775
1747.1648507345694,-16.491610363411844
1747.16485073457,-88.08985781666087
1747.1648507345635,-103.70471296275964
1747.164850734562,-27.714771742682892
1747.1648507345658,-39.166537484757505
1747.164850734562,-16.125346865331213
1747.1648507345617,-16.895204609997354
1747.164850734565,-47.66708715707877
