bucket,trades,win_rate,avg_return,pnl
0.52-0.55,5457,49.477735019241344,0.3916701271240452,2137.3438837159147
0.55-0.6,9004,48.65615282096846,0.36595263864003147,3295.0375583148434
0.6-0.65,9180,49.11210371500163,0.3717780400970994,3412.9224080913727
0.65-0.7,8884,49.36965330932013,0.38844299403441934,3450.9275590017814
0.7-0.75,5351,49.747710708278824,0.43190185023139144,2311.1068005881757
