slippage,final_equity,return,status
0.0,18471648.50734567,1747.164850734567,PROFITABLE
0.05,9280405.939556897,828.0405939556896,PROFITABLE
0.1,4665983.254582089,366.59832545820893,PROFITABLE
0.15,2349678.3996733134,134.96783996733134,PROFITABLE
0.2,1180992.7718667497,18.099277186674968,PROFITABLE
0.25,595151.1019471167,-40.48488980528834,UNPROFITABLE
0.3,299450.2883994184,-70.05497116005816,UNPROFITABLE
0.5,20682.175864467063,-97.9317824135533,UNPROFITABLE
