trade_id,symbol,signal_date,direction,probability,intended_entry,actual_entry,entry_execution_type,target,stop,entry_date,exit_date,exit_price,quantity,position_value,risk_amount,gross_pnl,slippage_cost,transaction_cost,net_pnl,pnl,costs,return_pct,bars_in_position,status,portfolio_equity_before,entry_dt
25771,PFC,2024-08-07T00:00:00,LONG,0.53125,474.0499877929688,474.0499877929688,NORMAL,488.2714874267578,459.8284881591797,2024-09-20T00:00:00,2024-09-23T00:00:00,495.75,2428,1150993.370361328,34529.80111083981,52687.62963867188,0.0,4016.183980294995,48671.44565837688,48671.44565837688,4016.183980294995,4.228646915932938,0,EXECUTED,13023525.249984823,2024-09-20
27611,RECLTD,2024-07-01T00:00:00,LONG,0.67875,525.4000244140625,525.4000244140625,NORMAL,541.1620251464844,509.6380236816406,2024-09-20T00:00:00,2024-09-23T00:00:00,552.0,2474,1299839.6604003906,38995.18981201173,65808.33959960938,0.0,4545.851457131616,61262.48814247776,61262.48814247776,4545.851457131616,4.713080390515783,0,EXECUTED,13023525.249984823,2024-09-20
12815,HUDCO,2024-05-16T00:00:00,LONG,0.52,229.6499938964844,229.6499938964844,NORMAL,236.5394937133789,222.76049407958985,2024-09-20T00:00:00,2024-09-23T00:00:00,242.1499938964844,5660,1299818.9654541016,38994.56896362303,70750.0,0.0,4553.847064439576,66196.15293556043,66196.15293556043,4553.847064439576,5.09272096306383,0,EXECUTED,13023525.249984823,2024-09-20
27613,RECLTD,2024-07-03T00:00:00,LONG,0.53225,530.0,530.0,NORMAL,545.9,523.0240118408203,2024-09-23T00:00:00,2024-10-01T00:00:00,555.3760125732422,2478,1313340.0,17286.498658447243,62881.75915649412,0.0,4587.172659471145,58294.586497022974,58294.586497022974,4587.172659471145,4.438651567531863,0,EXECUTED,13560241.568251751,2024-09-23
17987,IRFC,2024-09-19T00:00:00,LONG,0.61225,156.0,156.0,NORMAL,160.68,153.80319763183593,2024-09-23T00:00:00,2024-10-07T00:00:00,153.0,8493,1324908.0,18657.44251281746,-25479.0,0.0,4482.4414851,-29961.4414851,-29961.4414851,4482.4414851,-2.2613978846153846,0,EXECUTED,13075760.712799212,2024-09-23
25782,PFC,2024-09-18T00:00:00,LONG,0.6869999999999999,482.4500122070313,482.4500122070313,NORMAL,496.9235125732422,467.9765118408203,2024-09-23T00:00:00,2024-10-03T00:00:00,496.9235125732422,2747,1325290.1835327148,39758.70550598146,39758.70550598146,0.0,4590.2339956882215,35168.47151029324,35168.47151029324,4590.2339956882215,2.653643100000001,0,EXECUTED,13464301.358314425,2024-09-23
15713,INDUSTOWER,2024-07-11T00:00:00,LONG,0.608,382.8999938964844,382.8999938964844,NORMAL,394.3869937133789,371.41299407958985,2024-09-23T00:00:00,2024-09-24T00:00:00,394.3869937133789,3436,1315644.3790283203,39469.331370849584,39469.331370849584,0.0,4556.825086226741,34912.50628462284,34912.50628462284,4556.825086226741,2.653643099999998,0,EXECUTED,13367209.072090574,2024-09-23
29021,RVNL,2024-08-12T00:00:00,LONG,0.5705,512.5,512.5,NORMAL,527.875,502.6055236816406,2024-09-23T00:00:00,2024-09-24T00:00:00,533.6945251464844,2570,1317125.0,25428.80413818368,54469.92962646479,0.0,4586.366291129279,49883.56333533551,49883.56333533551,4586.366291129279,3.787306697187853,0,EXECUTED,13367209.072090574,2024-09-23
5,ADANIENSOL,2024-06-06T00:00:00,SHORT,0.53725,976.2000122070312,976.2000122070312,NORMAL,946.9140118408204,980.2510125732422,2024-09-23T00:00:00,2024-09-24T00:00:00,980.2510125732422,1350,1317870.0164794922,5468.850494384753,-5468.850494384753,0.0,4509.746090507016,-9978.59658489177,-9978.59658489177,4509.746090507016,-0.7571760841443387,0,EXECUTED,13367209.072090574,2024-09-23
10776,HAL,2024-06-05T00:00:00,LONG,0.7065,4229.9501953125,4229.9501953125,NORMAL,4356.848701171875,4203.349594726563,2024-09-23T00:00:00,2024-09-24T00:00:00,4203.349594726563,310,1311284.560546875,8246.186181640524,-8246.186181640524,0.0,4464.052010739068,-12710.238192379593,-12710.238192379593,4464.052010739068,-0.9692967167308634,0,EXECUTED,13367209.072090574,2024-09-23
