window_id,symbol,training_start,training_end,training_sample_count,validation_sample_count,model_version
W4,ASHOKLEY,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ASHOKLEY,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ASIANPAINT,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,ASIANPAINT,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,ASIANPAINT,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,ASIANPAINT,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,ASIANPAINT,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,ASTRAL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ASTRAL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ASTRAL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ASTRAL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ASTRAL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,ATGL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,ATGL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,ATGL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,ATGL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,ATGL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,AUROPHARMA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,AUROPHARMA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,AUROPHARMA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,AUROPHARMA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,AUROPHARMA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,AXISBANK,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,AXISBANK,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,AXISBANK,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,AXISBANK,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,AXISBANK,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,BAJAJ-AUTO,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BAJAJ-AUTO,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BAJAJ-AUTO,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BAJAJ-AUTO,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BAJAJ-AUTO,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BAJAJFINSV,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BAJAJFINSV,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BAJAJFINSV,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BAJAJFINSV,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BAJAJFINSV,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BAJAJHLDNG,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BAJAJHLDNG,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BAJAJHLDNG,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BAJAJHLDNG,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BAJAJHLDNG,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BAJFINANCE,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,BAJFINANCE,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,BAJFINANCE,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,BAJFINANCE,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,BAJFINANCE,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,BALKRISIND,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BALKRISIND,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BALKRISIND,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BALKRISIND,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BALKRISIND,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BANDHANBNK,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BANDHANBNK,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BANDHANBNK,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BANDHANBNK,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BANDHANBNK,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BANKBARODA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BANKBARODA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BANKBARODA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BANKBARODA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BANKBARODA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BANKINDIA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BANKINDIA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BANKINDIA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BANKINDIA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BANKINDIA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BATAINDIA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BATAINDIA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BATAINDIA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BATAINDIA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BATAINDIA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BEL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BEL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BEL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BEL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BEL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BERGEPAINT,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BERGEPAINT,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BERGEPAINT,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BERGEPAINT,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BERGEPAINT,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BHARATFORG,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BHARATFORG,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BHARATFORG,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BHARATFORG,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BHARATFORG,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BHARTIARTL,2017-06-01T00:00:00,2021-06-01T00:00:00,740,247,WF_W1_20260821
W2,BHARTIARTL,2017-06-01T00:00:00,2022-06-01T00:00:00,927,310,WF_W2_20260821
W3,BHARTIARTL,2017-06-01T00:00:00,2023-06-01T00:00:00,1113,372,WF_W3_20260821
W4,BHARTIARTL,2017-06-01T00:00:00,2024-06-01T00:00:00,1297,433,WF_W4_20260821
W5,BHARTIARTL,2017-06-01T00:00:00,2025-06-01T00:00:00,1482,495,WF_W5_20260821
W1,BHEL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BHEL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BHEL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BHEL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BHEL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BIOCON,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BIOCON,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BIOCON,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BIOCON,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BIOCON,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BLUEDART,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BLUEDART,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BLUEDART,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BLUEDART,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BLUEDART,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BOSCHLTD,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BOSCHLTD,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BOSCHLTD,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BOSCHLTD,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BOSCHLTD,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BPCL,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BPCL,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BPCL,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BPCL,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BPCL,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
W1,BRITANNIA,2020-01-01T00:00:00,2021-06-01T00:00:00,263,88,WF_W1_20260821
W2,BRITANNIA,2020-01-01T00:00:00,2022-06-01T00:00:00,450,150,WF_W2_20260821
W3,BRITANNIA,2020-01-01T00:00:00,2023-06-01T00:00:00,635,212,WF_W3_20260821
W4,BRITANNIA,2020-01-01T00:00:00,2024-06-01T00:00:00,819,273,WF_W4_20260821
W5,BRITANNIA,2020-01-01T00:00:00,2025-06-01T00:00:00,1004,335,WF_W5_20260821
