date,return_pct
2016-08-31,
2016-09-30,0.0
2016-10-31,0.0
2016-11-30,0.0
2016-12-31,0.0
2017-01-31,0.0
2017-02-28,0.0
2017-03-31,0.0
2017-04-30,0.0
2017-05-31,0.0
2017-06-30,-0.013637600700568298
2017-07-31,0.042154330153681085
2017-08-31,-0.03148123256834168
2017-09-30,-0.014118870184739896
2017-10-31,0.005809566168745839
2017-11-30,0.009630129028494583
2017-12-31,-0.012411695756284202
2018-01-31,0.0025537363098948607
2018-02-28,-0.004467280543943519
2018-03-31,-0.008381721075225501
2018-04-30,0.013472416575840196
2018-05-31,-0.008658991326367271
2018-06-30,-0.007285504085945527
2018-07-31,0.022227285783937845
2018-08-31,0.03581779002367402
2018-09-30,-0.03066953675020756
2018-10-31,0.015329917708528207
2018-11-30,0.011854730450668871
2018-12-31,-0.003967662662172189
2019-01-31,-0.027919523002075453
2019-02-28,0.019496700490999164
2019-03-31,0.008896210530544124
2019-04-30,0.0066223936452434184
2019-05-31,0.020517111266491028
2019-06-30,0.0047097521004020315
2019-07-31,-0.023715773797504114
2019-08-31,-0.010860291847377468
2019-09-30,-0.004085513362458548
2019-10-31,-0.015032285618294061
2019-11-30,0.02809628468852754
2019-12-31,-0.00719300979071702
2020-01-31,-0.023491323505778428
2020-02-29,-0.028255089813172485
2020-03-31,0.1421955305621474
2020-04-30,0.0448870384689386
2020-05-31,0.04965345938433452
2020-06-30,0.045487038073222186
2020-07-31,-0.011433038406660434
2020-08-31,-0.027537819326713953
2020-09-30,-0.001505515033475513
2020-10-31,-0.0010879060594005674
2020-11-30,-0.03298041614849012
2020-12-31,0.15898836580861064
2021-01-31,0.0870962300515572
2021-02-28,0.09303001392267651
2021-03-31,0.13223610627733495
2021-04-30,0.03158257947681098
2021-05-31,0.07201870564912571
2021-06-30,0.05061800831560448
2021-07-31,0.01192746993232019
2021-08-31,0.06647877658917345
2021-09-30,0.0450904420662821
2021-10-31,0.15476120372359303
2021-11-30,0.01128761414542856
2021-12-31,0.04004322026078855
2022-01-31,0.04587305744205605
2022-02-28,0.040829459844921034
2022-03-31,-0.01059834530635817
2022-04-30,-0.01647730269036174
2022-05-31,0.03921294039505052
2022-06-30,0.04945953074375198
2022-07-31,0.015486464230312524
2022-08-31,0.05305210745509159
2022-09-30,0.04579180653130921
2022-10-31,-0.0038770798778557936
2022-11-30,0.03844031347941557
2022-12-31,0.047262927598834326
2023-01-31,0.022497730107239322
2023-02-28,0.001254130719282598
2023-03-31,0.03976380702156712
2023-04-30,0.021515146027931253
2023-05-31,0.04745573792596569
2023-06-30,0.0026333519513854764
2023-07-31,0.07245108515695398
2023-08-31,0.010983567708420683
2023-09-30,0.06177901292108556
2023-10-31,0.014450254650319794
2023-11-30,0.016315214077223583
2023-12-31,0.0925898895457915
2024-01-31,0.10471409067698256
2024-02-29,0.13484653674047986
2024-03-31,0.03855914965752927
2024-04-30,0.07971917396525674
2024-05-31,0.09751201987002345
2024-06-30,0.2943228129098292
2024-07-31,0.08002673970357854
2024-08-31,0.0014376290553037574
2024-09-30,0.04014403619393092
2024-10-31,0.0004686751328482064
2024-11-30,-0.0031260256598184544
2024-12-31,-0.016791267329089976
2025-01-31,0.07542455455831498
2025-02-28,0.017369514624738347
2025-03-31,0.0229343200596126
2025-04-30,-0.04925961987463767
2025-05-31,-0.025570549439699386
2025-06-30,-0.01061048533136899
2025-07-31,-0.020333717670227403
2025-08-31,-0.012409369342274656
2025-09-30,0.013859272396372413
2025-10-31,0.02710212256468547
2025-11-30,0.029393163381432386
2025-12-31,0.01646660189628424
2026-01-31,0.06677651270137752
2026-02-28,0.08141245771673233
2026-03-31,0.05186160059378997
2026-04-30,0.01476339752663458
2026-05-31,0.0010064848451456498
2026-06-30,0.026111463840658322
2026-07-31,0.00689721140606947
2026-08-31,0.008642097455929143
