trade_id,symbol,signal_date,direction,probability,intended_entry,actual_entry,entry_execution_type,target,stop,entry_date,exit_date,exit_price,quantity,position_value,risk_amount,gross_pnl,slippage_cost,transaction_cost,net_pnl,pnl,costs,return_pct,bars_in_position,status,portfolio_equity_before
33979,TITAN,2017-06-05T00:00:00,LONG,0.69775,527.5281303571473,527.5281303571473,NORMAL,543.3539742678618,516.2391625976562,2017-06-06T00:00:00,2017-06-07T00:00:00,516.2391625976562,189,99702.81663750084,2133.6149065438235,-2133.6149065438235,0.0,336.9625380784589,-2470.577444622282,-2470.577444622282,336.9625380784589,-2.477941474416715,0,EXECUTED,996756.7940552771
31574,SUNPHARMA,2017-06-01T00:00:00,SHORT,0.54275,472.5597803137339,472.5597803137339,NORMAL,458.38298690432185,479.60091674804687,2017-06-02T00:00:00,2017-06-09T00:00:00,479.60091674804687,211,99710.11364619785,1485.6797876400406,-1485.6797876400406,0.0,343.11808114181804,-1828.7978687818586,-1828.7978687818586,343.11808114181804,-1.8341147170596916,0,EXECUTED,995529.2209576147
13,ADANIENT,2017-06-06T00:00:00,LONG,0.583,68.31851196289062,68.31851196289062,NORMAL,70.36806732177735,66.2689566040039,2017-06-08T00:00:00,2017-06-12T00:00:00,70.36806732177735,1455,99403.43490600586,2982.103047180179,2982.103047180179,0.0,344.29065563395983,2637.8123915462193,2637.8123915462193,344.29065563395983,2.6536431000000036,0,EXECUTED,998563.4363366268
18190,ITC,2017-06-02T00:00:00,LONG,0.579,214.1939239501953,214.1939239501953,NORMAL,220.61974166870118,207.76810623168944,2017-06-05T00:00:00,2017-06-12T00:00:00,207.76810623168944,466,99814.36856079102,2994.4310568237347,-2994.4310568237347,0.0,335.93833307362365,-3330.3693898973584,-3330.3693898973584,335.93833307362365,-3.3365631000000042,0,EXECUTED,998563.4363366268
15,ADANIENT,2017-06-09T00:00:00,LONG,0.64725,70.15918084964939,70.15918084964939,NORMAL,72.26395627513887,68.44255378723145,2017-06-12T00:00:00,2017-06-13T00:00:00,68.44255378723145,1415,99275.24090225388,2429.027293321388,-2429.027293321388,0.0,335.0203363339476,-2764.047629655335,-2764.047629655335,335.0203363339476,-2.7842265649869424,0,EXECUTED,992408.7953213498
19381,JSWSTEEL,2017-06-08T00:00:00,LONG,0.7235,178.64219665527344,178.64219665527344,NORMAL,184.00146255493163,173.28293075561524,2017-06-09T00:00:00,2017-06-22T00:00:00,184.00146255493163,558,99682.34573364258,2990.4703720092743,2990.4703720092743,0.0,345.25668253032666,2645.213689478948,2645.213689478948,345.25668253032666,2.6536430999999974,0,EXECUTED,999032.8387470087
27697,RELIANCE,2017-06-15T00:00:00,LONG,0.6185,301.8603820800781,301.8603820800781,NORMAL,310.91619354248047,292.8045706176758,2017-06-16T00:00:00,2017-06-22T00:00:00,310.91619354248047,327,98708.34494018555,2961.250348205567,2961.250348205567,0.0,341.8831635761335,2619.3671846294337,2619.3671846294337,341.8831635761335,2.653643100000001,0,EXECUTED,999032.8387470087
15785,INFY,2017-06-16T00:00:00,SHORT,0.6852499999999999,364.6667785644531,364.6667785644531,NORMAL,353.7267752075195,375.60678192138676,2017-06-20T00:00:00,2017-06-23T00:00:00,375.60678192138676,273,99554.0305480957,2986.620916442881,-2986.620916442881,0.0,345.2602471689038,-3331.881163611785,-3331.881163611785,345.2602471689038,-3.34680690000001,0,EXECUTED,1001941.7713436119
16,ADANIENT,2017-06-13T00:00:00,LONG,0.57875,70.63935852050781,70.63935852050781,NORMAL,72.75853927612305,68.52017776489258,2017-06-14T00:00:00,2017-06-27T00:00:00,68.52017776489258,1400,98895.10192871094,2966.853057861326,-2966.853057861326,0.0,332.8444207994294,-3299.697478660755,-3299.697478660755,332.8444207994294,-3.336563099999998,0,EXECUTED,992872.8200957677
18193,ITC,2017-06-09T00:00:00,LONG,0.72575,208.5594024658203,208.5594024658203,NORMAL,214.81618453979493,202.3026203918457,2017-06-12T00:00:00,2017-06-28T00:00:00,214.81618453979493,476,99274.27557373047,2978.228267211919,2978.228267211919,0.0,343.8433033746301,2634.384963837289,2634.384963837289,343.8433033746301,2.653643100000005,0,EXECUTED,989040.94944309
29870,SBIN,2017-06-01T00:00:00,LONG,0.6014999999999999,260.5386657714844,260.5386657714844,NORMAL,268.3548257446289,252.72250579833982,2017-06-02T00:00:00,2017-06-28T00:00:00,252.72250579833982,383,99786.30899047852,2993.5892697143627,-2993.5892697143627,0.0,335.84389491393324,-3329.433164628296,-3329.433164628296,335.84389491393324,-3.336563100000007,0,EXECUTED,989040.94944309
2119,AXISBANK,2017-06-28T00:00:00,SHORT,0.7152499999999999,490.1170217178376,490.1170217178376,NORMAL,475.4135110663024,498.7383657836914,2017-06-29T00:00:00,2017-06-30T00:00:00,498.7383657836914,201,98513.52136528536,1732.8901572366149,-1732.8901572366149,0.0,339.47280018114617,-2072.362957417761,-2072.362957417761,339.47280018114617,-2.103633012704416,0,EXECUTED,981579.5907233956
2690,BAJFINANCE,2017-06-27T00:00:00,LONG,0.665,129.47236663163196,129.47236663163196,NORMAL,133.35653763058093,126.42636260986328,2017-06-28T00:00:00,2017-06-30T00:00:00,134.24654998779297,762,98657.94337330355,2321.0550645877347,3637.9277173946957,0.0,342.81560285558567,3295.11211453911,3295.11211453911,342.81560285558567,3.3399359462329454,0,EXECUTED,981579.5907233956
12906,ICICIBANK,2017-06-02T00:00:00,LONG,0.593,273.34307861328125,273.34307861328125,NORMAL,281.5433709716797,265.1427862548828,2017-06-06T00:00:00,2017-06-30T00:00:00,281.5433709716797,366,100043.56677246094,3001.307003173825,3001.307003173825,0.0,346.5077965225257,2654.799206651299,2654.799206651299,346.5077965225257,2.6536430999999965,0,EXECUTED,981579.5907233956
19719,KOTAKBANK,2017-06-16T00:00:00,LONG,0.6625,195.0480194091797,195.0480194091797,NORMAL,200.89945999145507,189.1965788269043,2017-06-20T00:00:00,2017-06-30T00:00:00,189.1965788269043,511,99669.53791809082,2990.086137542723,-2990.086137542723,0.0,335.450886572802,-3325.537024115525,-3325.537024115525,335.450886572802,-3.3365630999999984,0,EXECUTED,981579.5907233956
27700,RELIANCE,2017-06-27T00:00:00,LONG,0.68375,313.4640808105469,313.4640808105469,NORMAL,322.8680032348633,304.06015838623046,2017-06-28T00:00:00,2017-06-30T00:00:00,304.06015838623046,315,98741.18545532227,2962.235563659672,-2962.235563659672,0.0,332.3263947451817,-3294.5619584048536,-3294.5619584048536,332.3263947451817,-3.3365631000000042,0,EXECUTED,981579.5907233956
18194,ITC,2017-06-27T00:00:00,LONG,0.61425,212.37623317590956,212.37623317590956,NORMAL,218.74752017118686,206.500724029541,2017-06-28T00:00:00,2017-07-03T00:00:00,219.27396469116212,465,98754.94842679794,2732.111753061379,3207.44515459244,0.0,342.44415962398546,2865.0009949684545,2865.0009949684545,342.44415962398546,2.9011214532628053,0,EXECUTED,986362.3992994317
29879,SBIN,2017-06-27T00:00:00,LONG,0.53525,251.61081343641624,251.61081343641624,NORMAL,259.15913783950873,245.8648355102539,2017-06-28T00:00:00,2017-07-03T00:00:00,245.8648355102539,392,98631.43886707517,2252.4233470556374,-2252.4233470556374,0.0,333.11028052611596,-2585.5336275817535,-2585.5336275817535,333.11028052611596,-2.6214092152363886,0,EXECUTED,986362.3992994317
18,ADANIENT,2017-06-28T00:00:00,LONG,0.5682499999999999,71.70642852783203,71.70642852783203,NORMAL,73.857621383667,69.55523567199707,2017-06-29T00:00:00,2017-07-04T00:00:00,73.857621383667,1370,98237.80708312988,2947.1342124939006,2947.1342124939006,0.0,340.2534232411091,2606.8807892527916,2606.8807892527916,340.2534232411091,2.6536431000000045,0,EXECUTED,985276.666902606
15786,INFY,2017-06-29T00:00:00,SHORT,0.6065,361.0016615961951,361.0016615961951,NORMAL,350.17161174830926,371.5920199584961,2017-06-30T00:00:00,2017-07-05T00:00:00,371.5920199584961,273,98553.45361576126,2891.167832908174,-2891.167832908174,0.0,341.67355114497065,-3232.841384053145,-3232.841384053145,341.67355114497065,-3.2802923342060635,0,EXECUTED,984514.4550845736
18196,ITC,2017-07-03T00:00:00,LONG,0.649,233.43658447265625,233.43658447265625,NORMAL,240.43968200683594,226.43348693847656,2017-07-04T00:00:00,2017-07-06T00:00:00,226.43348693847656,422,98510.23864746094,2955.307159423828,-2955.307159423828,0.0,331.5491130092926,-3286.856272433121,-3286.856272433121,331.5491130092926,-3.3365631,0,EXECUTED,987597.925058666
27702,RELIANCE,2017-06-29T00:00:00,LONG,0.56975,303.6162666590669,303.6162666590669,NORMAL,312.72475465883895,294.6558236694336,2017-06-30T00:00:00,2017-07-06T00:00:00,312.8819570922852,324,98371.67039753769,2903.183528641205,3002.083700362714,0.0,340.80020696353427,2661.28349339918,2661.28349339918,340.80020696353427,2.7053352684207277,0,EXECUTED,987597.925058666
29881,SBIN,2017-06-30T00:00:00,LONG,0.6535,248.0306396484375,248.0306396484375,NORMAL,255.47155883789063,240.58972045898437,2017-07-03T00:00:00,2017-07-07T00:00:00,255.47155883789063,397,98468.16394042969,2954.044918212891,2954.044918212891,0.0,341.0512801109901,2612.9936381019006,2612.9936381019006,341.0512801109901,2.6536431000000005,0,EXECUTED,989135.2244769728
27703,RELIANCE,2017-07-05T00:00:00,LONG,0.587,314.6637878417969,314.6637878417969,NORMAL,324.1037014770508,305.223874206543,2017-07-06T00:00:00,2017-07-10T00:00:00,324.1037014770508,314,98804.42938232422,2964.1328814697254,2964.1328814697254,0.0,342.2159586713073,2621.916922798418,2621.916922798418,342.2159586713073,2.6536430999999987,0,EXECUTED,990201.5040343939
19,ADANIENT,2017-07-03T00:00:00,LONG,0.729,72.82683563232422,72.82683563232422,NORMAL,75.01164070129394,70.6420305633545,2017-07-04T00:00:00,2017-07-13T00:00:00,75.01164070129394,1357,98826.01595306396,2964.7804785919143,2964.7804785919143,0.0,342.2907252485378,2622.4897533433764,2622.4897533433764,342.2907252485378,2.653643099999995,0,EXECUTED,992897.6008644991
15787,INFY,2017-07-11T00:00:00,LONG,0.61975,378.12479272610307,378.12479272610307,NORMAL,389.46853650788614,366.9315100097656,2017-07-12T00:00:00,2017-07-17T00:00:00,389.6283044433594,262,99068.69569423901,2932.640071680419,3013.9200699211624,0.0,343.1995900476808,2670.7204798734815,2670.7204798734815,343.1995900476808,2.6958268312285734,0,EXECUTED,999104.1575992868
19720,KOTAKBANK,2017-06-29T00:00:00,LONG,0.55675,187.77332526169653,187.77332526169653,NORMAL,193.40652501954742,182.59258331298827,2017-06-30T00:00:00,2017-07-17T00:00:00,193.88696990966798,524,98393.22243712898,2714.708781123128,3203.5497955370424,0.0,341.20265166507573,2862.3471438719666,2862.3471438719666,341.20265166507573,2.909089745181322,0,EXECUTED,999104.1575992868
2691,BAJFINANCE,2017-07-13T00:00:00,LONG,0.60775,143.74541544327016,143.74541544327016,NORMAL,148.05777790656828,139.5175587463379,2017-07-14T00:00:00,2017-07-18T00:00:00,148.14751083374023,695,99903.06373307276,2938.3604043679234,3059.456296376696,0.0,346.122951935526,2713.33334444117,2713.33334444117,346.122951935526,2.7159661005900912,0,EXECUTED,1004337.3517705414
